"ANO","REGIAO","SIGLA","UNIDADE_FEDERACAO","MUNICIPIO","PERIODO","MATRICULAS","COD_MUNICIPIO"
"2011","Norte","RO","Rondônia","Alta Floresta D'Oeste","FUNDAMENTAL_ANOS_INICIAIS",2232,1100015
"2011","Norte","RO","Rondônia","Alto Alegre dos Parecis","FUNDAMENTAL_ANOS_INICIAIS",1250,1100379
"2011","Norte","RO","Rondônia","Alto Paraíso","FUNDAMENTAL_ANOS_INICIAIS",1779,1100403
"2011","Norte","RO","Rondônia","Alvorada D'Oeste","FUNDAMENTAL_ANOS_INICIAIS",1431,1100346
"2011","Norte","RO","Rondônia","Ariquemes","FUNDAMENTAL_ANOS_INICIAIS",9677,1100023
"2011","Norte","RO","Rondônia","Buritis","FUNDAMENTAL_ANOS_INICIAIS",3720,1100452
"2011","Norte","RO","Rondônia","Cabixi","FUNDAMENTAL_ANOS_INICIAIS",494,1100031
"2011","Norte","RO","Rondônia","Cacaulândia","FUNDAMENTAL_ANOS_INICIAIS",551,1100601
"2011","Norte","RO","Rondônia","Cacoal","FUNDAMENTAL_ANOS_INICIAIS",6896,1100049
"2011","Norte","RO","Rondônia","Campo Novo de Rondônia","FUNDAMENTAL_ANOS_INICIAIS",1465,1100700
"2011","Norte","RO","Rondônia","Candeias do Jamari","FUNDAMENTAL_ANOS_INICIAIS",2323,1100809
"2011","Norte","RO","Rondônia","Castanheiras","FUNDAMENTAL_ANOS_INICIAIS",350,1100908
"2011","Norte","RO","Rondônia","Cerejeiras","FUNDAMENTAL_ANOS_INICIAIS",1324,1100056
"2011","Norte","RO","Rondônia","Chupinguaia","FUNDAMENTAL_ANOS_INICIAIS",951,1100924
"2011","Norte","RO","Rondônia","Colorado do Oeste","FUNDAMENTAL_ANOS_INICIAIS",1380,1100064
"2011","Norte","RO","Rondônia","Corumbiara","FUNDAMENTAL_ANOS_INICIAIS",789,1100072
"2011","Norte","RO","Rondônia","Costa Marques","FUNDAMENTAL_ANOS_INICIAIS",1615,1100080
"2011","Norte","RO","Rondônia","Cujubim","FUNDAMENTAL_ANOS_INICIAIS",1991,1100940
"2011","Norte","RO","Rondônia","Espigão D'Oeste","FUNDAMENTAL_ANOS_INICIAIS",2755,1100098
"2011","Norte","RO","Rondônia","Governador Jorge Teixeira","FUNDAMENTAL_ANOS_INICIAIS",1002,1101005
"2011","Norte","RO","Rondônia","Guajará-Mirim","FUNDAMENTAL_ANOS_INICIAIS",4727,1100106
"2011","Norte","RO","Rondônia","Itapuã do Oeste","FUNDAMENTAL_ANOS_INICIAIS",994,1101104
"2011","Norte","RO","Rondônia","Jaru","FUNDAMENTAL_ANOS_INICIAIS",4940,1100114
"2011","Norte","RO","Rondônia","Ji-Paraná","FUNDAMENTAL_ANOS_INICIAIS",10298,1100122
"2011","Norte","RO","Rondônia","Machadinho D'Oeste","FUNDAMENTAL_ANOS_INICIAIS",3664,1100130
"2011","Norte","RO","Rondônia","Ministro Andreazza","FUNDAMENTAL_ANOS_INICIAIS",875,1101203
"2011","Norte","RO","Rondônia","Mirante da Serra","FUNDAMENTAL_ANOS_INICIAIS",1189,1101302
"2011","Norte","RO","Rondônia","Monte Negro","FUNDAMENTAL_ANOS_INICIAIS",1627,1101401
"2011","Norte","RO","Rondônia","Nova Brasilândia D'Oeste","FUNDAMENTAL_ANOS_INICIAIS",1733,1100148
"2011","Norte","RO","Rondônia","Nova Mamoré","FUNDAMENTAL_ANOS_INICIAIS",3078,1100338
"2011","Norte","RO","Rondônia","Nova União","FUNDAMENTAL_ANOS_INICIAIS",734,1101435
"2011","Norte","RO","Rondônia","Novo Horizonte do Oeste","FUNDAMENTAL_ANOS_INICIAIS",862,1100502
"2011","Norte","RO","Rondônia","Ouro Preto do Oeste","FUNDAMENTAL_ANOS_INICIAIS",3465,1100155
"2011","Norte","RO","Rondônia","Parecis","FUNDAMENTAL_ANOS_INICIAIS",435,1101450
"2011","Norte","RO","Rondônia","Pimenta Bueno","FUNDAMENTAL_ANOS_INICIAIS",3206,1100189
"2011","Norte","RO","Rondônia","Pimenteiras do Oeste","FUNDAMENTAL_ANOS_INICIAIS",231,1101468
"2011","Norte","RO","Rondônia","Porto Velho","FUNDAMENTAL_ANOS_INICIAIS",45375,1100205
"2011","Norte","RO","Rondônia","Presidente Médici","FUNDAMENTAL_ANOS_INICIAIS",1925,1100254
"2011","Norte","RO","Rondônia","Primavera de Rondônia","FUNDAMENTAL_ANOS_INICIAIS",397,1101476
"2011","Norte","RO","Rondônia","Rio Crespo","FUNDAMENTAL_ANOS_INICIAIS",387,1100262
"2011","Norte","RO","Rondônia","Rolim de Moura","FUNDAMENTAL_ANOS_INICIAIS",4732,1100288
"2011","Norte","RO","Rondônia","Santa Luzia D'Oeste","FUNDAMENTAL_ANOS_INICIAIS",689,1100296
"2011","Norte","RO","Rondônia","São Felipe D'Oeste","FUNDAMENTAL_ANOS_INICIAIS",523,1101484
"2011","Norte","RO","Rondônia","São Francisco do Guaporé","FUNDAMENTAL_ANOS_INICIAIS",1715,1101492
"2011","Norte","RO","Rondônia","São Miguel do Guaporé","FUNDAMENTAL_ANOS_INICIAIS",2269,1100320
"2011","Norte","RO","Rondônia","Seringueiras","FUNDAMENTAL_ANOS_INICIAIS",1303,1101500
"2011","Norte","RO","Rondônia","Teixeirópolis","FUNDAMENTAL_ANOS_INICIAIS",438,1101559
"2011","Norte","RO","Rondônia","Theobroma","FUNDAMENTAL_ANOS_INICIAIS",1070,1101609
"2011","Norte","RO","Rondônia","Urupá","FUNDAMENTAL_ANOS_INICIAIS",1358,1101708
"2011","Norte","RO","Rondônia","Vale do Anari","FUNDAMENTAL_ANOS_INICIAIS",1112,1101757
"2011","Norte","RO","Rondônia","Vale do Paraíso","FUNDAMENTAL_ANOS_INICIAIS",787,1101807
"2011","Norte","RO","Rondônia","Vilhena","FUNDAMENTAL_ANOS_INICIAIS",6428,1100304
"2011","Norte","AC","Acre","Acrelândia","FUNDAMENTAL_ANOS_INICIAIS",1667,1200013
"2011","Norte","AC","Acre","Assis Brasil","FUNDAMENTAL_ANOS_INICIAIS",1509,1200054
"2011","Norte","AC","Acre","Brasiléia","FUNDAMENTAL_ANOS_INICIAIS",2791,1200104
"2011","Norte","AC","Acre","Bujari","FUNDAMENTAL_ANOS_INICIAIS",1281,1200138
"2011","Norte","AC","Acre","Capixaba","FUNDAMENTAL_ANOS_INICIAIS",1476,1200179
"2011","Norte","AC","Acre","Cruzeiro do Sul","FUNDAMENTAL_ANOS_INICIAIS",11364,1200203
