"","ANO_IDEB","ANO_IDH","ANO_MATRICULA","ANO_REPASSE","CODIGO_MUNICIPIO","FAIXA_POP","IDEB_NOTA","IDHM","IDH_EDUCACAO","IDH_LONGEVIDADE","IDH_RENDA","MATRICULA","MUNICIPIO","PERIODO","POPULACAO","REDE","REGIAO","REPASSE_MATRICULA","UF","VALOR_REPASSADO_EDUCACAO"
"1","2013","2010","2011","2012","1200013","C",4.8,0.604,0.466,0.808,0.604,1667,"Acrelândia","FUNDAMENTAL_ANOS_INICIAIS",15721,"Pública","NORTE",2944.85842831434,"AC",4909079
"2","2015","2010","2013","2014","1200013","C",5,0.604,0.466,0.808,0.604,1656,"Acrelândia","FUNDAMENTAL_ANOS_INICIAIS",15721,"Pública","NORTE",3402.20048309179,"AC",5634044
"3","2017","2010","2015","2016","1200013","C",5.4,0.604,0.466,0.808,0.604,1571,"Acrelândia","FUNDAMENTAL_ANOS_INICIAIS",15721,"Pública","NORTE",4107.18014003819,"AC",6452380
"4","2019","2010","2017","2018","1200013","C",5.6,0.604,0.466,0.808,0.604,1413,"Acrelândia","FUNDAMENTAL_ANOS_INICIAIS",15721,"Pública","NORTE",4323.75371549894,"AC",6109464
"5","2013","2010","2011","2012","1200054","B",4.2,0.588,0.456,0.77,0.588,1509,"Assis Brasil","FUNDAMENTAL_ANOS_INICIAIS",7649,"Pública","NORTE",1903.24983432737,"AC",2872004
"6","2015","2010","2013","2014","1200054","B",4.2,0.588,0.456,0.77,0.588,1566,"Assis Brasil","FUNDAMENTAL_ANOS_INICIAIS",7649,"Pública","NORTE",2217.91123882503,"AC",3473249
"7","2017","2010","2015","2016","1200054","B",4.3,0.588,0.456,0.77,0.588,1614,"Assis Brasil","FUNDAMENTAL_ANOS_INICIAIS",7649,"Pública","NORTE",2450.18835192069,"AC",3954604
"8","2019","2010","2017","2018","1200054","B",4.9,0.588,0.456,0.77,0.588,1580,"Assis Brasil","FUNDAMENTAL_ANOS_INICIAIS",7649,"Pública","NORTE",2589.9164556962,"AC",4092068
"9","2013","2010","2011","2012","1200104","D",5.6,0.614,0.485,0.77,0.614,2791,"Brasiléia","FUNDAMENTAL_ANOS_INICIAIS",27123,"Pública","NORTE",2225.89000358295,"AC",6212459
"10","2015","2010","2013","2014","1200104","D",5.8,0.614,0.485,0.77,0.614,2761,"Brasiléia","FUNDAMENTAL_ANOS_INICIAIS",27123,"Pública","NORTE",2733.69322709163,"AC",7547727
"11","2017","2010","2015","2016","1200104","D",6.4,0.614,0.485,0.77,0.614,2775,"Brasiléia","FUNDAMENTAL_ANOS_INICIAIS",27123,"Pública","NORTE",3577.85945945946,"AC",9928560
"12","2019","2010","2017","2018","1200104","D",6.8,0.614,0.485,0.77,0.614,2631,"Brasiléia","FUNDAMENTAL_ANOS_INICIAIS",27123,"Pública","NORTE",3507.52717597872,"AC",9228304
"13","2013","2010","2011","2012","1200138","C",4.4,0.589,0.439,0.772,0.589,1281,"Bujari","FUNDAMENTAL_ANOS_INICIAIS",10572,"Pública","NORTE",2233.22092115535,"AC",2860756
"14","2015","2010","2013","2014","1200138","C",4.1,0.589,0.439,0.772,0.589,1341,"Bujari","FUNDAMENTAL_ANOS_INICIAIS",10572,"Pública","NORTE",2705.84563758389,"AC",3628539
"15","2017","2010","2015","2016","1200138","C",4.5,0.589,0.439,0.772,0.589,1285,"Bujari","FUNDAMENTAL_ANOS_INICIAIS",10572,"Pública","NORTE",3263.62256809339,"AC",4193755
"16","2019","2010","2017","2018","1200138","C",4.5,0.589,0.439,0.772,0.589,1397,"Bujari","FUNDAMENTAL_ANOS_INICIAIS",10572,"Pública","NORTE",3108.9255547602,"AC",4343169
"17","2013","2010","2011","2012","1200179","C",4.3,0.575,0.398,0.794,0.575,1476,"Capixaba","FUNDAMENTAL_ANOS_INICIAIS",12280,"Pública","NORTE",2706.84620596206,"AC",3995305
"18","2015","2010","2013","2014","1200179","C",4.5,0.575,0.398,0.794,0.575,1363,"Capixaba","FUNDAMENTAL_ANOS_INICIAIS",12280,"Pública","NORTE",3372.88628026412,"AC",4597244
"19","2017","2010","2015","2016","1200179","C",4.2,0.575,0.398,0.794,0.575,1329,"Capixaba","FUNDAMENTAL_ANOS_INICIAIS",12280,"Pública","NORTE",4557.6245297216,"AC",6057083
"20","2019","2010","2017","2018","1200179","C",4.6,0.575,0.398,0.794,0.575,1253,"Capixaba","FUNDAMENTAL_ANOS_INICIAIS",12280,"Pública","NORTE",4977.44533120511,"AC",6236739
"21","2013","2010","2011","2012","1200203","E",4.8,0.664,0.582,0.776,0.664,11364,"Cruzeiro do Sul","FUNDAMENTAL_ANOS_INICIAIS",89760,"Pública","NORTE",1566.89457937346,"AC",17806190
"22","2015","2010","2013","2014","1200203","E",5.2,0.664,0.582,0.776,0.664,11254,"Cruzeiro do Sul","FUNDAMENTAL_ANOS_INICIAIS",89760,"Pública","NORTE",2173.08690243469,"AC",24455920
"23","2017","2010","2015","2016","1200203","E",5.5,0.664,0.582,0.776,0.664,11836,"Cruzeiro do Sul","FUNDAMENTAL_ANOS_INICIAIS",89760,"Pública","NORTE",2591.84944237918,"AC",30677130
"24","2019","2010","2017","2018","1200203","E",5.7,0.664,0.582,0.776,0.664,10969,"Cruzeiro do Sul","FUNDAMENTAL_ANOS_INICIAIS",89760,"Pública","NORTE",2825.71063907375,"AC",30995220
"25","2013","2010","2011","2012","1200252","C",4.9,0.653,0.553,0.771,0.653,1638,"Epitaciolândia","FUNDAMENTAL_ANOS_INICIAIS",18979,"Pública","NORTE",2782.19352869353,"AC",4557233
"26","2015","2010","2013","2014","1200252","C",5.3,0.653,0.553,0.771,0.653,1536,"Epitaciolândia","FUNDAMENTAL_ANOS_INICIAIS",18979,"Pública","NORTE",3229.03125,"AC",4959792
"27","2017","2010","2015","2016","1200252","C",5.8,0.653,0.553,0.771,0.653,1493,"Epitaciolândia","FUNDAMENTAL_ANOS_INICIAIS",18979,"Pública","NORTE",4056.74079035499,"AC",6056714
"28","2019","2010","2017","2018","1200252","C",6,0.653,0.553,0.771,0.653,1504,"Epitaciolândia","FUNDAMENTAL_ANOS_INICIAIS",18979,"Pública","NORTE",3816.28457446808,"AC",5739692
"29","2013","2010","2011","2012","1200302","D",4.7,0.539,0.388,0.723,0.539,5512,"Feijó","FUNDAMENTAL_ANOS_INICIAIS",34986,"Pública","NORTE",1951.9553701016,"AC",10759178
"30","2015","2010","2013","2014","1200302","D",4.9,0.539,0.388,0.723,0.539,5197,"Feijó","FUNDAMENTAL_ANOS_INICIAIS",34986,"Pública","NORTE",2053.57032903598,"AC",10672405
"31","2017","2010","2015","2016","1200302","D",5.5,0.539,0.388,0.723,0.539,5294,"Feijó","FUNDAMENTAL_ANOS_INICIAIS",34986,"Pública","NORTE",2440.18058179071,"AC",12918316
"32","2019","2010","2017","2018","1200302","D",5.2,0.539,0.388,0.723,0.539,5110,"Feijó","FUNDAMENTAL_ANOS_INICIAIS",34986,"Pública","NORTE",2409.15146771037,"AC",12310764
"33","2013","2010","2011","2012","1200328","B",4.2,0.469,0.283,0.731,0.469,1537,"Jordão","FUNDAMENTAL_ANOS_INICIAIS",8628,"Pública","NORTE",3954.82368249837,"AC",6078564
"34","2015","2010","2013","2014","1200328","B",4.8,0.469,0.283,0.731,0.469,1630,"Jordão","FUNDAMENTAL_ANOS_INICIAIS",8628,"Pública","NORTE",3955.43312883436,"AC",6447356
"35","2017","2010","2015","2016","1200328","B",4.8,0.469,0.283,0.731,0.469,1687,"Jordão","FUNDAMENTAL_ANOS_INICIAIS",8628,"Pública","NORTE",4445.53823355068,"AC",7499623
"36","2019","2010","2017","2018","1200328","B",4.8,0.469,0.283,0.731,0.469,1622,"Jordão","FUNDAMENTAL_ANOS_INICIAIS",8628,"Pública","NORTE",4817.63378545006,"AC",7814202
"37","2013","2010","2011","2012","1200336","C",4.5,0.625,0.546,0.77,0.625,2126,"Mâncio Lima","FUNDAMENTAL_ANOS_INICIAIS",19643,"Pública","NORTE",2988.47177798683,"AC",6353491
"38","2015","2010","2013","2014","1200336","C",4.5,0.625,0.546,0.77,0.625,2185,"Mâncio Lima","FUNDAMENTAL_ANOS_INICIAIS",19643,"Pública","NORTE",3640.66361556064,"AC",7954850
"39","2017","2010","2015","2016","1200336","C",5.2,0.625,0.546,0.77,0.625,2383,"Mâncio Lima","FUNDAMENTAL_ANOS_INICIAIS",19643,"Pública","NORTE",4392.18590012589,"AC",10466579
"40","2019","2010","2017","2018","1200336","C",5.3,0.625,0.546,0.77,0.625,2354,"Mâncio Lima","FUNDAMENTAL_ANOS_INICIAIS",19643,"Pública","NORTE",4011.49022939677,"AC",9443048
"41","2013","2010","2011","2012","1200344","B",4.5,0.551,0.373,0.767,0.551,1496,"Manoel Urbano","FUNDAMENTAL_ANOS_INICIAIS",9701,"Pública","NORTE",2444.14973262032,"AC",3656448
"42","2015","2010","2013","2014","1200344","B",4.9,0.551,0.373,0.767,0.551,1499,"Manoel Urbano","FUNDAMENTAL_ANOS_INICIAIS",9701,"Pública","NORTE",2697.92194796531,"AC",4044185
"43","2017","2010","2015","2016","1200344","B",4.7,0.551,0.373,0.767,0.551,1615,"Manoel Urbano","FUNDAMENTAL_ANOS_INICIAIS",9701,"Pública","NORTE",2920.05882352941,"AC",4715895
"44","2019","2010","2017","2018","1200344","B",5.4,0.551,0.373,0.767,0.551,1547,"Manoel Urbano","FUNDAMENTAL_ANOS_INICIAIS",9701,"Pública","NORTE",3079.53652230123,"AC",4764043
"45","2015","2010","2013","2014","1200351","C",4.5,0.501,0.361,0.726,0.501,3137,"Marechal Thaumaturgo","FUNDAMENTAL_ANOS_INICIAIS",19727,"Pública","NORTE",4333.647433854,"AC",13594652
"46","2017","2010","2015","2016","1200351","C",4.2,0.501,0.361,0.726,0.501,3108,"Marechal Thaumaturgo","FUNDAMENTAL_ANOS_INICIAIS",19727,"Pública","NORTE",5752.1435006435,"AC",17877662
"47","2019","2010","2017","2018","1200351","C",4.5,0.501,0.361,0.726,0.501,3042,"Marechal Thaumaturgo","FUNDAMENTAL_ANOS_INICIAIS",19727,"Pública","NORTE",5469.3875739645,"AC",16637877
"48","2013","2010","2011","2012","1200385","D",4.8,0.622,0.517,0.786,0.622,2208,"Plácido de Castro","FUNDAMENTAL_ANOS_INICIAIS",20147,"Pública","NORTE",2385.9347826087,"AC",5268144
"49","2015","2010","2013","2014","1200385","D",4.5,0.622,0.517,0.786,0.622,2069,"Plácido de Castro","FUNDAMENTAL_ANOS_INICIAIS",20147,"Pública","NORTE",2986.85838569357,"AC",6179810
"50","2017","2010","2015","2016","1200385","D",5.2,0.622,0.517,0.786,0.622,1889,"Plácido de Castro","FUNDAMENTAL_ANOS_INICIAIS",20147,"Pública","NORTE",3476.52938062467,"AC",6567164
"51","2019","2010","2017","2018","1200385","D",4.9,0.622,0.517,0.786,0.622,1760,"Plácido de Castro","FUNDAMENTAL_ANOS_INICIAIS",20147,"Pública","NORTE",3366.23181818182,"AC",5924568
"52","2013","2010","2011","2012","1200393","C",3.7,0.532,0.397,0.726,0.532,1831,"Porto Walter","FUNDAMENTAL_ANOS_INICIAIS",12497,"Pública","NORTE",2721.20152921901,"AC",4982520
