"","ANO_IDEB","ANO_IDH","ANO_MATRICULA","ANO_REPASSE","CODIGO_MUNICIPIO","FAIXA_POP","IDEB_NOTA","IDHM","IDH_EDUCACAO","IDH_LONGEVIDADE","IDH_RENDA","MATRICULA","MUNICIPIO","PERIODO","POPULACAO","REDE","REGIAO","REPASSE_MATRICULA","UF","VALOR_REPASSADO_EDUCACAO"
"1","2013","2010","2011","2012","2700102","D",3.8,0.549,0.432,0.728,0.549,2723,"Água Branca","FUNDAMENTAL_ANOS_INICIAIS",20263,"Pública","NORDESTE",2842.25045905252,"AL",7739448
"2","2015","2010","2013","2014","2700102","D",3.9,0.549,0.432,0.728,0.549,2714,"Água Branca","FUNDAMENTAL_ANOS_INICIAIS",20263,"Pública","NORDESTE",3451.33861459101,"AL",9366933
"3","2017","2010","2015","2016","2700102","D",4.7,0.549,0.432,0.728,0.549,2486,"Água Branca","FUNDAMENTAL_ANOS_INICIAIS",20263,"Pública","NORDESTE",4986.48189863234,"AL",12396394
"4","2019","2010","2017","2018","2700102","D",4.9,0.549,0.432,0.728,0.549,2332,"Água Branca","FUNDAMENTAL_ANOS_INICIAIS",20263,"Pública","NORDESTE",5326.75171526587,"AL",12421985
"5","2013","2010","2011","2012","2700201","C",2.7,0.568,0.444,0.756,0.568,1877,"Anadia","FUNDAMENTAL_ANOS_INICIAIS",17507,"Pública","NORDESTE",3106.2642514651,"AL",5830458
"6","2015","2010","2013","2014","2700201","C",3.8,0.568,0.444,0.756,0.568,1493,"Anadia","FUNDAMENTAL_ANOS_INICIAIS",17507,"Pública","NORDESTE",4633.13864701942,"AL",6917276
"7","2017","2010","2015","2016","2700201","C",4.2,0.568,0.444,0.756,0.568,1512,"Anadia","FUNDAMENTAL_ANOS_INICIAIS",17507,"Pública","NORDESTE",4988.04100529101,"AL",7541918
"8","2019","2010","2017","2018","2700201","C",5.7,0.568,0.444,0.756,0.568,1423,"Anadia","FUNDAMENTAL_ANOS_INICIAIS",17507,"Pública","NORDESTE",5592.47434996486,"AL",7958091
"9","2013","2010","2011","2012","2700300","G",4.1,0.649,0.549,0.78,0.649,20415,"Arapiraca","FUNDAMENTAL_ANOS_INICIAIS",234309,"Pública","NORDESTE",2442.43693362723,"AL",49862350
"10","2015","2010","2013","2014","2700300","G",4.6,0.649,0.549,0.78,0.649,20108,"Arapiraca","FUNDAMENTAL_ANOS_INICIAIS",234309,"Pública","NORDESTE",3066.39049134673,"AL",61658980
"11","2017","2010","2015","2016","2700300","G",5,0.649,0.549,0.78,0.649,20292,"Arapiraca","FUNDAMENTAL_ANOS_INICIAIS",234309,"Pública","NORDESTE",3603.8542282673,"AL",73129410
"12","2019","2010","2017","2018","2700300","G",5.4,0.649,0.549,0.78,0.649,20219,"Arapiraca","FUNDAMENTAL_ANOS_INICIAIS",234309,"Pública","NORDESTE",3885.51857164054,"AL",78561300
"13","2013","2010","2011","2012","2700409","D",3.6,0.561,0.431,0.752,0.561,5030,"Atalaia","FUNDAMENTAL_ANOS_INICIAIS",47540,"Pública","NORDESTE",3266.1745526839,"AL",16428858
"14","2015","2010","2013","2014","2700409","D",3.9,0.561,0.431,0.752,0.561,4970,"Atalaia","FUNDAMENTAL_ANOS_INICIAIS",47540,"Pública","NORDESTE",3916.6291750503,"AL",19465647
"15","2017","2010","2015","2016","2700409","D",4.2,0.561,0.431,0.752,0.561,4648,"Atalaia","FUNDAMENTAL_ANOS_INICIAIS",47540,"Pública","NORDESTE",4576.03205679862,"AL",21269397
"16","2019","2010","2017","2018","2700409","D",4.6,0.561,0.431,0.752,0.561,4270,"Atalaia","FUNDAMENTAL_ANOS_INICIAIS",47540,"Pública","NORDESTE",5651.47704918033,"AL",24131807
"17","2013","2010","2011","2012","2700508","C",2.8,0.557,0.428,0.732,0.557,1743,"Barra de Santo Antônio","FUNDAMENTAL_ANOS_INICIAIS",16201,"Pública","NORDESTE",3046.1256454389,"AL",5309397
"18","2017","2010","2015","2016","2700508","C",4.2,0.557,0.428,0.732,0.557,1611,"Barra de Santo Antônio","FUNDAMENTAL_ANOS_INICIAIS",16201,"Pública","NORDESTE",5322.6052141527,"AL",8574717
"19","2019","2010","2017","2018","2700508","C",4.5,0.557,0.428,0.732,0.557,1607,"Barra de Santo Antônio","FUNDAMENTAL_ANOS_INICIAIS",16201,"Pública","NORDESTE",5323.10329807094,"AL",8554227
"20","2013","2010","2011","2012","2700607","B",3.5,0.615,0.475,0.767,0.615,906,"Barra de São Miguel","FUNDAMENTAL_ANOS_INICIAIS",8434,"Pública","NORDESTE",3262.55187637969,"AL",2955872
"21","2015","2010","2013","2014","2700607","B",4.2,0.615,0.475,0.767,0.615,921,"Barra de São Miguel","FUNDAMENTAL_ANOS_INICIAIS",8434,"Pública","NORDESTE",4074.00173893865,"AL",3752155.6015625
"22","2017","2010","2015","2016","2700607","B",5.2,0.615,0.475,0.767,0.615,858,"Barra de São Miguel","FUNDAMENTAL_ANOS_INICIAIS",8434,"Pública","NORDESTE",5208.54663825758,"AL",4468933.015625
"23","2019","2010","2017","2018","2700607","B",5.4,0.615,0.475,0.767,0.615,825,"Barra de São Miguel","FUNDAMENTAL_ANOS_INICIAIS",8434,"Pública","NORDESTE",5935.84287878788,"AL",4897070.375
"24","2013","2010","2011","2012","2700706","C",4.2,0.594,0.496,0.752,0.594,1850,"Batalha","FUNDAMENTAL_ANOS_INICIAIS",18440,"Pública","NORDESTE",3198.76216216216,"AL",5917710
"25","2015","2010","2013","2014","2700706","C",4.6,0.594,0.496,0.752,0.594,1709,"Batalha","FUNDAMENTAL_ANOS_INICIAIS",18440,"Pública","NORDESTE",4394.66003510825,"AL",7510474
"26","2017","2010","2015","2016","2700706","C",4.8,0.594,0.496,0.752,0.594,1595,"Batalha","FUNDAMENTAL_ANOS_INICIAIS",18440,"Pública","NORDESTE",5641.44388714734,"AL",8998103
"27","2019","2010","2017","2018","2700706","C",5.5,0.594,0.496,0.752,0.594,1669,"Batalha","FUNDAMENTAL_ANOS_INICIAIS",18440,"Pública","NORDESTE",5962.30677052127,"AL",9951090
"28","2013","2010","2011","2012","2700805","A",3.7,0.593,0.464,0.764,0.593,576,"Belém","FUNDAMENTAL_ANOS_INICIAIS",4226,"Pública","NORDESTE",4441.35416666667,"AL",2558220
"29","2015","2010","2013","2014","2700805","A",4.1,0.593,0.464,0.764,0.593,520,"Belém","FUNDAMENTAL_ANOS_INICIAIS",4226,"Pública","NORDESTE",5365.70979567308,"AL",2790169.09375
"30","2017","2010","2015","2016","2700805","A",5.8,0.593,0.464,0.764,0.593,522,"Belém","FUNDAMENTAL_ANOS_INICIAIS",4226,"Pública","NORDESTE",7438.79654573755,"AL",3883051.796875
"31","2019","2010","2017","2018","2700805","A",5.5,0.593,0.464,0.764,0.593,440,"Belém","FUNDAMENTAL_ANOS_INICIAIS",4226,"Pública","NORDESTE",8888.40767045455,"AL",3910899.375
"32","2013","2010","2011","2012","2700904","B",3.2,0.517,0.376,0.725,0.517,899,"Belo Monte","FUNDAMENTAL_ANOS_INICIAIS",6717,"Pública","NORDESTE",4009.87430478309,"AL",3604877
