"","ANO_IDEB","ANO_IDH","ANO_MATRICULA","ANO_REPASSE","CODIGO_MUNICIPIO","FAIXA_POP","IDEB_NOTA","IDHM","IDH_EDUCACAO","IDH_LONGEVIDADE","IDH_RENDA","MATRICULA","MUNICIPIO","PERIODO","POPULACAO","REDE","REGIAO","REPASSE_MATRICULA","UF","VALOR_REPASSADO_EDUCACAO"
"1","2013","2010","2011","2012","1300029","C",4.2,0.527,0.377,0.778,0.527,2864,"Alvarães","FUNDAMENTAL_ANOS_INICIAIS",16396,"Pública","NORTE",1389.62744413408,"AM",3979893
"2","2015","2010","2013","2014","1300029","C",3.6,0.527,0.377,0.778,0.527,2648,"Alvarães","FUNDAMENTAL_ANOS_INICIAIS",16396,"Pública","NORTE",1752.67975830816,"AM",4641096
"3","2017","2010","2015","2016","1300029","C",3.7,0.527,0.377,0.778,0.527,2452,"Alvarães","FUNDAMENTAL_ANOS_INICIAIS",16396,"Pública","NORTE",2414.85603588907,"AM",5921227
"4","2019","2010","2017","2018","1300029","C",4,0.527,0.377,0.778,0.527,2327,"Alvarães","FUNDAMENTAL_ANOS_INICIAIS",16396,"Pública","NORTE",3374.9088955737,"AM",7853413
"5","2013","2010","2011","2012","1300060","C",3.4,0.56,0.455,0.773,0.56,1558,"Amaturá","FUNDAMENTAL_ANOS_INICIAIS",11934,"Pública","NORTE",1336.34146341463,"AM",2082020
"6","2015","2010","2013","2014","1300060","C",4,0.56,0.455,0.773,0.56,1439,"Amaturá","FUNDAMENTAL_ANOS_INICIAIS",11934,"Pública","NORTE",1845.71450985928,"AM",2655983.1796875
"7","2017","2010","2015","2016","1300060","C",4,0.56,0.455,0.773,0.56,1388,"Amaturá","FUNDAMENTAL_ANOS_INICIAIS",11934,"Pública","NORTE",2694.88609397514,"AM",3740501.8984375
"8","2019","2010","2017","2018","1300060","C",4.4,0.56,0.455,0.773,0.56,1465,"Amaturá","FUNDAMENTAL_ANOS_INICIAIS",11934,"Pública","NORTE",3234.88941979522,"AM",4739113
"9","2013","2010","2011","2012","1300086","C",4.2,0.594,0.526,0.741,0.594,1361,"Anamã","FUNDAMENTAL_ANOS_INICIAIS",14292,"Pública","NORTE",1429.94143782145,"AM",1946150.296875
"10","2015","2010","2013","2014","1300086","C",4.7,0.594,0.526,0.741,0.594,1268,"Anamã","FUNDAMENTAL_ANOS_INICIAIS",14292,"Pública","NORTE",1655.82439126577,"AM",2099585.328125
"11","2017","2010","2015","2016","1300086","C",5,0.594,0.526,0.741,0.594,1256,"Anamã","FUNDAMENTAL_ANOS_INICIAIS",14292,"Pública","NORTE",2081.12667321855,"AM",2613895.1015625
"12","2019","2010","2017","2018","1300086","C",5.5,0.594,0.526,0.741,0.594,1143,"Anamã","FUNDAMENTAL_ANOS_INICIAIS",14292,"Pública","NORTE",2900.58137166448,"AM",3315364.5078125
"13","2013","2010","2011","2012","1300102","D",4.2,0.561,0.433,0.757,0.561,1725,"Anori","FUNDAMENTAL_ANOS_INICIAIS",21937,"Pública","NORTE",1243.67652173913,"AM",2145342
"14","2015","2010","2013","2014","1300102","D",4.8,0.561,0.433,0.757,0.561,1639,"Anori","FUNDAMENTAL_ANOS_INICIAIS",21937,"Pública","NORTE",1487.45795359213,"AM",2437943.5859375
"15","2017","2010","2015","2016","1300102","D",5.3,0.561,0.433,0.757,0.561,1505,"Anori","FUNDAMENTAL_ANOS_INICIAIS",21937,"Pública","NORTE",2009.68539244186,"AM",3024576.515625
