"","ANO_IDEB","ANO_IDH","ANO_MATRICULA","ANO_REPASSE","CODIGO_MUNICIPIO","FAIXA_POP","IDEB_NOTA","IDHM","IDH_EDUCACAO","IDH_LONGEVIDADE","IDH_RENDA","MATRICULA","MUNICIPIO","PERIODO","POPULACAO","REDE","REGIAO","REPASSE_MATRICULA","UF","VALOR_REPASSADO_EDUCACAO"
"1","2013","2010","2011","2012","1600055","B",3.9,0.709,0.692,0.783,0.709,637,"Serra do Navio","FUNDAMENTAL_ANOS_INICIAIS",5577,"Pública","NORTE",1947.10926461931,"AP",1240308.6015625
"2","2015","2010","2013","2014","1600055","B",4.2,0.709,0.692,0.783,0.709,567,"Serra do Navio","FUNDAMENTAL_ANOS_INICIAIS",5577,"Pública","NORTE",2959.66137566138,"AP",1678128
"3","2017","2010","2015","2016","1600055","B",5.1,0.709,0.692,0.783,0.709,513,"Serra do Navio","FUNDAMENTAL_ANOS_INICIAIS",5577,"Pública","NORTE",3887.92787524366,"AP",1994507
"4","2019","2010","2017","2018","1600055","B",4.9,0.709,0.692,0.783,0.709,542,"Serra do Navio","FUNDAMENTAL_ANOS_INICIAIS",5577,"Pública","NORTE",4258.20479704797,"AP",2307947
"5","2013","2010","2011","2012","1600105","B",3.5,0.642,0.532,0.79,0.642,1275,"Amapá","FUNDAMENTAL_ANOS_INICIAIS",9265,"Pública","NORTE",1587.8062745098,"AP",2024453
"6","2015","2010","2013","2014","1600105","B",3.7,0.642,0.532,0.79,0.642,1145,"Amapá","FUNDAMENTAL_ANOS_INICIAIS",9265,"Pública","NORTE",2462.84541484716,"AP",2819958
"7","2017","2010","2015","2016","1600105","B",3.7,0.642,0.532,0.79,0.642,1013,"Amapá","FUNDAMENTAL_ANOS_INICIAIS",9265,"Pública","NORTE",3348.10266535044,"AP",3391628
"8","2019","2010","2017","2018","1600105","B",4,0.642,0.532,0.79,0.642,996,"Amapá","FUNDAMENTAL_ANOS_INICIAIS",9265,"Pública","NORTE",3796.04518072289,"AP",3780861
"9","2013","2010","2011","2012","1600204","C",3.1,0.643,0.55,0.759,0.643,1415,"Calçoene","FUNDAMENTAL_ANOS_INICIAIS",11493,"Pública","NORTE",2002.17809187279,"AP",2833082
"10","2015","2010","2013","2014","1600204","C",3.7,0.643,0.55,0.759,0.643,1459,"Calçoene","FUNDAMENTAL_ANOS_INICIAIS",11493,"Pública","NORTE",3207.39410555175,"AP",4679588
"11","2017","2010","2015","2016","1600204","C",3.4,0.643,0.55,0.759,0.643,1376,"Calçoene","FUNDAMENTAL_ANOS_INICIAIS",11493,"Pública","NORTE",4073.49854651163,"AP",5605134
"12","2019","2010","2017","2018","1600204","C",3.4,0.643,0.55,0.759,0.643,1311,"Calçoene","FUNDAMENTAL_ANOS_INICIAIS",11493,"Pública","NORTE",4360.17543859649,"AP",5716190
"13","2013","2010","2011","2012","1600212","B",3,0.628,0.566,0.76,0.628,727,"Cutias","FUNDAMENTAL_ANOS_INICIAIS",6217,"Pública","NORTE",1569.89380588033,"AP",1141312.796875
"14","2015","2010","2013","2014","1600212","B",3.7,0.628,0.566,0.76,0.628,652,"Cutias","FUNDAMENTAL_ANOS_INICIAIS",6217,"Pública","NORTE",2451.95245398773,"AP",1598673
"15","2017","2010","2015","2016","1600212","B",3.4,0.628,0.566,0.76,0.628,555,"Cutias","FUNDAMENTAL_ANOS_INICIAIS",6217,"Pública","NORTE",3135.61946790541,"AP",1740268.8046875
"16","2019","2010","2017","2018","1600212","B",4.1,0.628,0.566,0.76,0.628,662,"Cutias","FUNDAMENTAL_ANOS_INICIAIS",6217,"Pública","NORTE",3600.94864048338,"AP",2383828
"17","2013","2010","2011","2012","1600238","B",3,0.656,0.542,0.82,0.656,974,"Ferreira Gomes","FUNDAMENTAL_ANOS_INICIAIS",8151,"Pública","NORTE",2963.93326488706,"AP",2886871
"18","2015","2010","2013","2014","1600238","B",3.5,0.656,0.542,0.82,0.656,947,"Ferreira Gomes","FUNDAMENTAL_ANOS_INICIAIS",8151,"Pública","NORTE",4090.94931362196,"AP",3874129
"19","2017","2010","2015","2016","1600238","B",3.6,0.656,0.542,0.82,0.656,1022,"Ferreira Gomes","FUNDAMENTAL_ANOS_INICIAIS",8151,"Pública","NORTE",5264.22504892368,"AP",5380038
"20","2019","2010","2017","2018","1600238","B",3.8,0.656,0.542,0.82,0.656,1013,"Ferreira Gomes","FUNDAMENTAL_ANOS_INICIAIS",8151,"Pública","NORTE",5529.06614017769,"AP",5600944
"21","2013","2010","2011","2012","1600253","B",3.4,0.576,0.477,0.758,0.576,732,"Itaubal","FUNDAMENTAL_ANOS_INICIAIS",5730,"Pública","NORTE",1480.96775742828,"AP",1084068.3984375
"22","2015","2010","2013","2014","1600253","B",3.6,0.576,0.477,0.758,0.576,797,"Itaubal","FUNDAMENTAL_ANOS_INICIAIS",5730,"Pública","NORTE",2513.56336260979,"AP",2003310
"23","2017","2010","2015","2016","1600253","B",4.1,0.576,0.477,0.758,0.576,760,"Itaubal","FUNDAMENTAL_ANOS_INICIAIS",5730,"Pública","NORTE",3197.34605263158,"AP",2429983
"24","2019","2010","2017","2018","1600253","B",4.2,0.576,0.477,0.758,0.576,842,"Itaubal","FUNDAMENTAL_ANOS_INICIAIS",5730,"Pública","NORTE",3910.73752969121,"AP",3292841
"25","2013","2010","2011","2012","1600279","E",3.5,0.665,0.573,0.801,0.665,5808,"Laranjal do Jari","FUNDAMENTAL_ANOS_INICIAIS",52302,"Pública","NORTE",2188.08092286501,"AP",12708374
"26","2015","2010","2013","2014","1600279","E",4.1,0.665,0.573,0.801,0.665,5650,"Laranjal do Jari","FUNDAMENTAL_ANOS_INICIAIS",52302,"Pública","NORTE",2968.63539823009,"AP",16772790
"27","2017","2010","2015","2016","1600279","E",4.3,0.665,0.573,0.801,0.665,5577,"Laranjal do Jari","FUNDAMENTAL_ANOS_INICIAIS",52302,"Pública","NORTE",3594.1958041958,"AP",20044830
"28","2019","2010","2017","2018","1600279","E",4.6,0.665,0.573,0.801,0.665,5175,"Laranjal do Jari","FUNDAMENTAL_ANOS_INICIAIS",52302,"Pública","NORTE",3974.68212560386,"AP",20568980
"29","2013","2010","2011","2012","1600303","G",3.9,0.733,0.663,0.82,0.733,44422,"Macapá","FUNDAMENTAL_ANOS_INICIAIS",522357,"Pública","NORTE",1419.27625951105,"AP",63047090
"30","2015","2010","2013","2014","1600303","G",4.4,0.733,0.663,0.82,0.733,42623,"Macapá","FUNDAMENTAL_ANOS_INICIAIS",522357,"Pública","NORTE",2051.75844027872,"AP",87452100
"31","2017","2010","2015","2016","1600303","G",4.5,0.733,0.663,0.82,0.733,43653,"Macapá","FUNDAMENTAL_ANOS_INICIAIS",522357,"Pública","NORTE",2599.23212608526,"AP",113464280
"32","2019","2010","2017","2018","1600303","G",4.9,0.733,0.663,0.82,0.733,44395,"Macapá","FUNDAMENTAL_ANOS_INICIAIS",522357,"Pública","NORTE",2575.00394188535,"AP",114317300
"33","2013","2010","2011","2012","1600402","D",3.3,0.592,0.449,0.758,0.592,3030,"Mazagão","FUNDAMENTAL_ANOS_INICIAIS",22468,"Pública","NORTE",1764.47326732673,"AP",5346354
"34","2015","2010","2013","2014","1600402","D",3.9,0.592,0.449,0.758,0.592,2864,"Mazagão","FUNDAMENTAL_ANOS_INICIAIS",22468,"Pública","NORTE",2400.3969972067,"AP",6874737
"35","2017","2010","2015","2016","1600402","D",4.2,0.592,0.449,0.758,0.592,2883,"Mazagão","FUNDAMENTAL_ANOS_INICIAIS",22468,"Pública","NORTE",2843.5889698231,"AP",8198067
"36","2019","2010","2017","2018","1600402","D",3.9,0.592,0.449,0.758,0.592,2963,"Mazagão","FUNDAMENTAL_ANOS_INICIAIS",22468,"Pública","NORTE",3188.30307121161,"AP",9446942
"37","2013","2010","2011","2012","1600501","D",3.3,0.658,0.527,0.779,0.658,3106,"Oiapoque","FUNDAMENTAL_ANOS_INICIAIS",28534,"Pública","NORTE",1703.74565357373,"AP",5291834
"38","2015","2010","2013","2014","1600501","D",3.7,0.658,0.527,0.779,0.658,2900,"Oiapoque","FUNDAMENTAL_ANOS_INICIAIS",28534,"Pública","NORTE",2625.01482758621,"AP",7612543
"39","2017","2010","2015","2016","1600501","D",4,0.658,0.527,0.779,0.658,2882,"Oiapoque","FUNDAMENTAL_ANOS_INICIAIS",28534,"Pública","NORTE",3495.15510062457,"AP",10073037
"40","2019","2010","2017","2018","1600501","D",4.1,0.658,0.527,0.779,0.658,3331,"Oiapoque","FUNDAMENTAL_ANOS_INICIAIS",28534,"Pública","NORTE",3979.80906634644,"AP",13256744
"41","2013","2010","2011","2012","1600535","D",3.4,0.64,0.554,0.777,0.64,2440,"Porto Grande","FUNDAMENTAL_ANOS_INICIAIS",22927,"Pública","NORTE",2591.58606557377,"AP",6323470
"42","2015","2010","2013","2014","1600535","D",3.9,0.64,0.554,0.777,0.64,2320,"Porto Grande","FUNDAMENTAL_ANOS_INICIAIS",22927,"Pública","NORTE",3919.01336206897,"AP",9092111
"43","2017","2010","2015","2016","1600535","D",4.1,0.64,0.554,0.777,0.64,2518,"Porto Grande","FUNDAMENTAL_ANOS_INICIAIS",22927,"Pública","NORTE",4744.68546465449,"AP",11947118
"44","2019","2010","2017","2018","1600535","D",4.4,0.64,0.554,0.777,0.64,2507,"Porto Grande","FUNDAMENTAL_ANOS_INICIAIS",22927,"Pública","NORTE",4639.31990426805,"AP",11630775
"45","2013","2010","2011","2012","1600550","B",3.2,0.614,0.544,0.79,0.614,652,"Pracuúba","FUNDAMENTAL_ANOS_INICIAIS",5370,"Pública","NORTE",1662.84246788727,"AP",1084173.2890625
"46","2015","2010","2013","2014","1600550","B",3.7,0.614,0.544,0.79,0.614,612,"Pracuúba","FUNDAMENTAL_ANOS_INICIAIS",5370,"Pública","NORTE",3130.72549019608,"AP",1916004
"47","2017","2010","2015","2016","1600550","B",2.7,0.614,0.544,0.79,0.614,575,"Pracuúba","FUNDAMENTAL_ANOS_INICIAIS",5370,"Pública","NORTE",3828.63652173913,"AP",2201466
"48","2013","2010","2011","2012","1600600","F",4.3,0.692,0.638,0.794,0.692,12392,"Santana","FUNDAMENTAL_ANOS_INICIAIS",124808,"Pública","NORTE",1453.6636539703,"AP",18013800
"49","2015","2010","2013","2014","1600600","F",4.6,0.692,0.638,0.794,0.692,11930,"Santana","FUNDAMENTAL_ANOS_INICIAIS",124808,"Pública","NORTE",2065.59262363789,"AP",24642520
"50","2017","2010","2015","2016","1600600","F",4.8,0.692,0.638,0.794,0.692,11865,"Santana","FUNDAMENTAL_ANOS_INICIAIS",124808,"Pública","NORTE",2741.12684365782,"AP",32523470
"51","2019","2010","2017","2018","1600600","F",4.8,0.692,0.638,0.794,0.692,11760,"Santana","FUNDAMENTAL_ANOS_INICIAIS",124808,"Pública","NORTE",3107.00340136054,"AP",36538360
"52","2013","2010","2011","2012","1600709","C",2.9,0.592,0.473,0.794,0.592,1946,"Tartarugalzinho","FUNDAMENTAL_ANOS_INICIAIS",18217,"Pública","NORTE",1480.049331963,"AP",2880176
"53","2015","2010","2013","2014","1600709","C",3.5,0.592,0.473,0.794,0.592,1880,"Tartarugalzinho","FUNDAMENTAL_ANOS_INICIAIS",18217,"Pública","NORTE",1911.31808510638,"AP",3593278
"54","2017","2010","2015","2016","1600709","C",3.8,0.592,0.473,0.794,0.592,1954,"Tartarugalzinho","FUNDAMENTAL_ANOS_INICIAIS",18217,"Pública","NORTE",2835.97748208802,"AP",5541500
"55","2019","2010","2017","2018","1600709","C",3.9,0.592,0.473,0.794,0.592,2088,"Tartarugalzinho","FUNDAMENTAL_ANOS_INICIAIS",18217,"Pública","NORTE",3278.68630268199,"AP",6845897
"56","2013","2010","2011","2012","1600808","C",3.8,0.619,0.517,0.781,0.619,1962,"Vitória do Jari","FUNDAMENTAL_ANOS_INICIAIS",16572,"Pública","NORTE",3174.4877675841,"AP",6228345
"57","2015","2010","2013","2014","1600808","C",3.6,0.619,0.517,0.781,0.619,1880,"Vitória do Jari","FUNDAMENTAL_ANOS_INICIAIS",16572,"Pública","NORTE",4029.17765957447,"AP",7574854
"58","2017","2010","2015","2016","1600808","C",3.6,0.619,0.517,0.781,0.619,1865,"Vitória do Jari","FUNDAMENTAL_ANOS_INICIAIS",16572,"Pública","NORTE",5533.82841823056,"AP",10320590
"59","2019","2010","2017","2018","1600808","C",4.3,0.619,0.517,0.781,0.619,1678,"Vitória do Jari","FUNDAMENTAL_ANOS_INICIAIS",16572,"Pública","NORTE",5805.58760429082,"AP",9741776
"60","2013","2010","2011","2012","1600055","B",3.7,0.709,0.692,0.783,0.709,442,"Serra do Navio","FUNDAMENTAL_ANOS_FINAIS",5577,"Pública","NORTE",2806.12805783371,"AP",1240308.6015625
"61","2015","2010","2013","2014","1600055","B",3.4,0.709,0.692,0.783,0.709,473,"Serra do Navio","FUNDAMENTAL_ANOS_FINAIS",5577,"Pública","NORTE",3547.83932346723,"AP",1678128
"62","2017","2010","2015","2016","1600055","B",3.1,0.709,0.692,0.783,0.709,475,"Serra do Navio","FUNDAMENTAL_ANOS_FINAIS",5577,"Pública","NORTE",4198.96210526316,"AP",1994507
"63","2013","2010","2011","2012","1600105","B",2.8,0.642,0.532,0.79,0.642,851,"Amapá","FUNDAMENTAL_ANOS_FINAIS",9265,"Pública","NORTE",2378.910693302,"AP",2024453
"64","2015","2010","2013","2014","1600105","B",2.9,0.642,0.532,0.79,0.642,851,"Amapá","FUNDAMENTAL_ANOS_FINAIS",9265,"Pública","NORTE",3313.69917743831,"AP",2819958
