"","ANO_IDEB","ANO_IDH","ANO_MATRICULA","ANO_REPASSE","CODIGO_MUNICIPIO","FAIXA_POP","IDEB_NOTA","IDHM","IDH_EDUCACAO","IDH_LONGEVIDADE","IDH_RENDA","MATRICULA","MUNICIPIO","PERIODO","POPULACAO","REDE","REGIAO","REPASSE_MATRICULA","UF","VALOR_REPASSADO_EDUCACAO"
"1","2013","2010","2011","2012","2300101","C",7.1,0.628,0.612,0.748,0.628,835,"Abaiara","FUNDAMENTAL_ANOS_INICIAIS",11965,"Pública","NORDESTE",3133.20958083832,"CE",2616230
"2","2015","2010","2013","2014","2300101","C",5.5,0.628,0.612,0.748,0.628,715,"Abaiara","FUNDAMENTAL_ANOS_INICIAIS",11965,"Pública","NORDESTE",3926.19850305944,"CE",2807231.9296875
"3","2017","2010","2015","2016","2300101","C",5.8,0.628,0.612,0.748,0.628,667,"Abaiara","FUNDAMENTAL_ANOS_INICIAIS",11965,"Pública","NORDESTE",5756.28859398426,"CE",3839444.4921875
"4","2019","2010","2017","2018","2300101","C",6.1,0.628,0.612,0.748,0.628,663,"Abaiara","FUNDAMENTAL_ANOS_INICIAIS",11965,"Pública","NORDESTE",5646.65130090498,"CE",3743729.8125
"5","2013","2010","2011","2012","2300150","C",3.9,0.606,0.562,0.709,0.606,1301,"Acarape","FUNDAMENTAL_ANOS_INICIAIS",15140,"Pública","NORDESTE",2584.35972328978,"CE",3362252
"6","2015","2010","2013","2014","2300150","C",5.4,0.606,0.562,0.709,0.606,1143,"Acarape","FUNDAMENTAL_ANOS_INICIAIS",15140,"Pública","NORDESTE",3641.29046369204,"CE",4161995
"7","2017","2010","2015","2016","2300150","C",5.4,0.606,0.562,0.709,0.606,1136,"Acarape","FUNDAMENTAL_ANOS_INICIAIS",15140,"Pública","NORDESTE",5180.32482394366,"CE",5884849
"8","2019","2010","2017","2018","2300150","C",5.4,0.606,0.562,0.709,0.606,1120,"Acarape","FUNDAMENTAL_ANOS_INICIAIS",15140,"Pública","NORDESTE",5537.63392857143,"CE",6202150
"9","2013","2010","2011","2012","2300200","E",4.5,0.601,0.517,0.758,0.601,6127,"Acaraú","FUNDAMENTAL_ANOS_INICIAIS",63556,"Pública","NORDESTE",2921.02921495022,"CE",17897146
"10","2015","2010","2013","2014","2300200","E",5.3,0.601,0.517,0.758,0.601,5718,"Acaraú","FUNDAMENTAL_ANOS_INICIAIS",63556,"Pública","NORDESTE",3489.47813920951,"CE",19952836
