"","ANO_IDEB","ANO_IDH","ANO_MATRICULA","ANO_REPASSE","CODIGO_MUNICIPIO","FAIXA_POP","IDEB_NOTA","IDHM","IDH_EDUCACAO","IDH_LONGEVIDADE","IDH_RENDA","MATRICULA","MUNICIPIO","PERIODO","POPULACAO","REDE","REGIAO","REPASSE_MATRICULA","UF","VALOR_REPASSADO_EDUCACAO"
"1","2013","2010","2011","2012","3200102","D",5.5,0.667,0.544,0.825,0.667,2239,"Afonso Cláudio","FUNDAMENTAL_ANOS_INICIAIS",30326,"Pública","SUDESTE",1208.48414470746,"ES",2705796
"2","2015","2010","2013","2014","3200102","D",5.8,0.667,0.544,0.825,0.667,2147,"Afonso Cláudio","FUNDAMENTAL_ANOS_INICIAIS",30326,"Pública","SUDESTE",1384.24871914299,"ES",2971982
"3","2017","2010","2015","2016","3200102","D",6.4,0.667,0.544,0.825,0.667,2292,"Afonso Cláudio","FUNDAMENTAL_ANOS_INICIAIS",30326,"Pública","SUDESTE",1592.11212914485,"ES",3649121
"4","2019","2010","2017","2018","3200102","D",6.5,0.667,0.544,0.825,0.667,2197,"Afonso Cláudio","FUNDAMENTAL_ANOS_INICIAIS",30326,"Pública","SUDESTE",1560.56030951297,"ES",3428551
"5","2013","2010","2011","2012","3200136","B",5.6,0.678,0.595,0.792,0.678,815,"Águia Branca","FUNDAMENTAL_ANOS_INICIAIS",9621,"Pública","SUDESTE",1257.03975268405,"ES",1024487.3984375
"6","2015","2010","2013","2014","3200136","B",6.5,0.678,0.595,0.792,0.678,763,"Águia Branca","FUNDAMENTAL_ANOS_INICIAIS",9621,"Pública","SUDESTE",1493.95372911206,"ES",1139886.6953125
"7","2017","2010","2015","2016","3200136","B",6.8,0.678,0.595,0.792,0.678,800,"Águia Branca","FUNDAMENTAL_ANOS_INICIAIS",9621,"Pública","SUDESTE",1700.0230078125,"ES",1360018.40625
"8","2019","2010","2017","2018","3200136","B",6.7,0.678,0.595,0.792,0.678,793,"Águia Branca","FUNDAMENTAL_ANOS_INICIAIS",9621,"Pública","SUDESTE",1818.19345050441,"ES",1441827.40625
"9","2013","2010","2011","2012","3200169","C",4.8,0.652,0.546,0.819,0.652,986,"Água Doce do Norte","FUNDAMENTAL_ANOS_INICIAIS",10801,"Pública","SUDESTE",1111.45557333925,"ES",1095895.1953125
"10","2015","2010","2013","2014","3200169","C",6.2,0.652,0.546,0.819,0.652,944,"Água Doce do Norte","FUNDAMENTAL_ANOS_INICIAIS",10801,"Pública","SUDESTE",1238.02690512447,"ES",1168697.3984375
