"","ANO_IDEB","ANO_IDH","ANO_MATRICULA","ANO_REPASSE","CODIGO_MUNICIPIO","FAIXA_POP","IDEB_NOTA","IDHM","IDH_EDUCACAO","IDH_LONGEVIDADE","IDH_RENDA","MATRICULA","MUNICIPIO","PERIODO","POPULACAO","REDE","REGIAO","REPASSE_MATRICULA","UF","VALOR_REPASSADO_EDUCACAO"
"1","2013","2010","2011","2012","5200050","B",6,0.708,0.622,0.83,0.708,704,"Abadia de Goiás","FUNDAMENTAL_ANOS_INICIAIS",9158,"Pública","CENTRO_OESTE",1398.71391712536,"GO",984694.59765625
"2","2015","2010","2013","2014","5200050","B",5.5,0.708,0.622,0.83,0.708,845,"Abadia de Goiás","FUNDAMENTAL_ANOS_INICIAIS",9158,"Pública","CENTRO_OESTE",1614.91136279586,"GO",1364600.1015625
"3","2017","2010","2015","2016","5200050","B",6.1,0.708,0.622,0.83,0.708,977,"Abadia de Goiás","FUNDAMENTAL_ANOS_INICIAIS",9158,"Pública","CENTRO_OESTE",1887.86284544524,"GO",1844442
"4","2019","2010","2017","2018","5200050","B",5.9,0.708,0.622,0.83,0.708,1143,"Abadia de Goiás","FUNDAMENTAL_ANOS_INICIAIS",9158,"Pública","CENTRO_OESTE",1924.44356955381,"GO",2199639
"5","2013","2010","2011","2012","5200100","D",4.9,0.689,0.579,0.841,0.689,1220,"Abadiânia","FUNDAMENTAL_ANOS_INICIAIS",20873,"Pública","CENTRO_OESTE",802.794419185451,"GO",979409.19140625
"6","2015","2010","2013","2014","5200100","D",5.1,0.689,0.579,0.841,0.689,1200,"Abadiânia","FUNDAMENTAL_ANOS_INICIAIS",20873,"Pública","CENTRO_OESTE",938.590247395833,"GO",1126308.296875
"7","2017","2010","2015","2016","5200100","D",5.2,0.689,0.579,0.841,0.689,1204,"Abadiânia","FUNDAMENTAL_ANOS_INICIAIS",20873,"Pública","CENTRO_OESTE",1080.36420265781,"GO",1300758.5
"8","2019","2010","2017","2018","5200100","D",5.8,0.689,0.579,0.841,0.689,1196,"Abadiânia","FUNDAMENTAL_ANOS_INICIAIS",20873,"Pública","CENTRO_OESTE",1115.43152304557,"GO",1334056.1015625
"9","2013","2010","2011","2012","5200134","D",6.3,0.686,0.553,0.822,0.686,1849,"Acreúna","FUNDAMENTAL_ANOS_INICIAIS",22710,"Pública","CENTRO_OESTE",939.44672796106,"GO",1737037
"10","2015","2010","2013","2014","5200134","D",6,0.686,0.553,0.822,0.686,1906,"Acreúna","FUNDAMENTAL_ANOS_INICIAIS",22710,"Pública","CENTRO_OESTE",1086.8221406086,"GO",2071483
"11","2017","2010","2015","2016","5200134","D",6.2,0.686,0.553,0.822,0.686,1674,"Acreúna","FUNDAMENTAL_ANOS_INICIAIS",22710,"Pública","CENTRO_OESTE",1393.3733572282,"GO",2332507
"12","2019","2010","2017","2018","5200134","D",6.4,0.686,0.553,0.822,0.686,1461,"Acreúna","FUNDAMENTAL_ANOS_INICIAIS",22710,"Pública","CENTRO_OESTE",1531.00547570157,"GO",2236799
"13","2013","2010","2011","2012","5200159","A",5.3,0.702,0.622,0.836,0.702,188,"Adelândia","FUNDAMENTAL_ANOS_INICIAIS",2515,"Pública","CENTRO_OESTE",578.401115255153,"GO",108739.409667969
