"","ANO_IDEB","ANO_IDH","ANO_MATRICULA","ANO_REPASSE","CODIGO_MUNICIPIO","FAIXA_POP","IDEB_NOTA","IDHM","IDH_EDUCACAO","IDH_LONGEVIDADE","IDH_RENDA","MATRICULA","MUNICIPIO","PERIODO","POPULACAO","REDE","REGIAO","REPASSE_MATRICULA","UF","VALOR_REPASSADO_EDUCACAO"
"1","2013","2010","2011","2012","2100055","F",4.5,0.672,0.602,0.785,0.672,11561,"Açailândia","FUNDAMENTAL_ANOS_INICIAIS",113783,"Pública","NORDESTE",3548.25534123346,"MA",41021380
"2","2015","2010","2013","2014","2100055","F",4.9,0.672,0.602,0.785,0.672,11423,"Açailândia","FUNDAMENTAL_ANOS_INICIAIS",113783,"Pública","NORDESTE",4358.73763459687,"MA",49789860
"3","2017","2010","2015","2016","2100055","F",5,0.672,0.602,0.785,0.672,11386,"Açailândia","FUNDAMENTAL_ANOS_INICIAIS",113783,"Pública","NORDESTE",5676.27788512208,"MA",64630100
"4","2019","2010","2017","2018","2100055","F",5.3,0.672,0.602,0.785,0.672,10598,"Açailândia","FUNDAMENTAL_ANOS_INICIAIS",113783,"Pública","NORDESTE",5722.46839026231,"MA",60646720
"5","2013","2010","2011","2012","2100105","B",3.5,0.529,0.434,0.725,0.529,1154,"Afonso Cunha","FUNDAMENTAL_ANOS_INICIAIS",6631,"Pública","NORDESTE",4087.68197573657,"MA",4717185
"6","2015","2010","2013","2014","2100105","B",4,0.529,0.434,0.725,0.529,1116,"Afonso Cunha","FUNDAMENTAL_ANOS_INICIAIS",6631,"Pública","NORDESTE",4831.01971326165,"MA",5391418
"7","2017","2010","2015","2016","2100105","B",4.4,0.529,0.434,0.725,0.529,1047,"Afonso Cunha","FUNDAMENTAL_ANOS_INICIAIS",6631,"Pública","NORDESTE",6551.29226361031,"MA",6859203
"8","2019","2010","2017","2018","2100105","B",3.9,0.529,0.434,0.725,0.529,936,"Afonso Cunha","FUNDAMENTAL_ANOS_INICIAIS",6631,"Pública","NORDESTE",7281.92948717949,"MA",6815886
"9","2013","2010","2011","2012","2100154","C",3.4,0.5,0.363,0.697,0.5,1540,"Água Doce do Maranhão","FUNDAMENTAL_ANOS_INICIAIS",12731,"Pública","NORDESTE",4218.63831168831,"MA",6496703
"10","2015","2010","2013","2014","2100154","C",4.2,0.5,0.363,0.697,0.5,1431,"Água Doce do Maranhão","FUNDAMENTAL_ANOS_INICIAIS",12731,"Pública","NORDESTE",4893.27393431167,"MA",7002275
