"","ANO_IDEB","ANO_IDH","ANO_MATRICULA","ANO_REPASSE","CODIGO_MUNICIPIO","FAIXA_POP","IDEB_NOTA","IDHM","IDH_EDUCACAO","IDH_LONGEVIDADE","IDH_RENDA","MATRICULA","MUNICIPIO","PERIODO","POPULACAO","REDE","REGIAO","REPASSE_MATRICULA","UF","VALOR_REPASSADO_EDUCACAO"
"1","2013","2010","2011","2012","3100104","B",6.7,0.689,0.563,0.839,0.689,457,"Abadia dos Dourados","FUNDAMENTAL_ANOS_INICIAIS",7022,"Pública","SUDESTE",714.926041951586,"MG",326721.201171875
"2","2015","2010","2013","2014","3100104","B",6.8,0.689,0.563,0.839,0.689,459,"Abadia dos Dourados","FUNDAMENTAL_ANOS_INICIAIS",7022,"Pública","SUDESTE",871.053593920207,"MG",399813.599609375
"3","2017","2010","2015","2016","3100104","B",6.6,0.689,0.563,0.839,0.689,441,"Abadia dos Dourados","FUNDAMENTAL_ANOS_INICIAIS",7022,"Pública","SUDESTE",1123.92788938492,"MG",495652.19921875
"4","2019","2010","2017","2018","3100104","B",7.3,0.689,0.563,0.839,0.689,407,"Abadia dos Dourados","FUNDAMENTAL_ANOS_INICIAIS",7022,"Pública","SUDESTE",1184.74298410627,"MG",482190.39453125
"5","2013","2010","2011","2012","3100203","D",6.2,0.698,0.556,0.848,0.698,1803,"Abaeté","FUNDAMENTAL_ANOS_INICIAIS",23263,"Pública","SUDESTE",737.572214711592,"MG",1329842.703125
"6","2015","2010","2013","2014","3100203","D",6.9,0.698,0.556,0.848,0.698,1588,"Abaeté","FUNDAMENTAL_ANOS_INICIAIS",23263,"Pública","SUDESTE",925.182427778652,"MG",1469189.6953125
"7","2017","2010","2015","2016","3100203","D",7,0.698,0.556,0.848,0.698,1463,"Abaeté","FUNDAMENTAL_ANOS_INICIAIS",23263,"Pública","SUDESTE",1132.29289131921,"MG",1656544.5
"8","2019","2010","2017","2018","3100203","D",6.9,0.698,0.556,0.848,0.698,1327,"Abaeté","FUNDAMENTAL_ANOS_INICIAIS",23263,"Pública","SUDESTE",1159.81417200452,"MG",1539073.40625
"9","2013","2010","2011","2012","3100302","C",6.2,0.654,0.525,0.823,0.654,1104,"Abre Campo","FUNDAMENTAL_ANOS_INICIAIS",13434,"Pública","SUDESTE",544.675452190897,"MG",601321.69921875
"10","2015","2010","2013","2014","3100302","C",6.6,0.654,0.525,0.823,0.654,1051,"Abre Campo","FUNDAMENTAL_ANOS_INICIAIS",13434,"Pública","SUDESTE",638.520081321361,"MG",671084.60546875
"11","2017","2010","2015","2016","3100302","C",6.8,0.654,0.525,0.823,0.654,981,"Abre Campo","FUNDAMENTAL_ANOS_INICIAIS",13434,"Pública","SUDESTE",753.435166602956,"MG",739119.8984375
"12","2019","2010","2017","2018","3100302","C",6.6,0.654,0.525,0.823,0.654,904,"Abre Campo","FUNDAMENTAL_ANOS_INICIAIS",13434,"Pública","SUDESTE",735.231302717091,"MG",664649.09765625
"13","2013","2010","2011","2012","3100401","A",5.7,0.63,0.499,0.823,0.63,327,"Acaiaca","FUNDAMENTAL_ANOS_INICIAIS",3995,"Pública","SUDESTE",888.829038847477,"MG",290647.095703125
"14","2015","2010","2013","2014","3100401","A",6.4,0.63,0.499,0.823,0.63,284,"Acaiaca","FUNDAMENTAL_ANOS_INICIAIS",3995,"Pública","SUDESTE",1115.44647474692,"MG",316786.798828125
"15","2017","2010","2015","2016","3100401","A",6.4,0.63,0.499,0.823,0.63,283,"Acaiaca","FUNDAMENTAL_ANOS_INICIAIS",3995,"Pública","SUDESTE",1444.54204394876,"MG",408805.3984375
"16","2019","2010","2017","2018","3100401","A",6.3,0.63,0.499,0.823,0.63,282,"Acaiaca","FUNDAMENTAL_ANOS_INICIAIS",3995,"Pública","SUDESTE",1538.22624390514,"MG",433779.80078125
"17","2013","2010","2011","2012","3100500","B",5.6,0.61,0.451,0.844,0.61,866,"Açucena","FUNDAMENTAL_ANOS_INICIAIS",9270,"Pública","SUDESTE",511.94213923571,"MG",443341.892578125
"18","2015","2010","2013","2014","3100500","B",5.7,0.61,0.451,0.844,0.61,765,"Açucena","FUNDAMENTAL_ANOS_INICIAIS",9270,"Pública","SUDESTE",652.76039624183,"MG",499361.703125
"19","2017","2010","2015","2016","3100500","B",5.8,0.61,0.451,0.844,0.61,717,"Açucena","FUNDAMENTAL_ANOS_INICIAIS",9270,"Pública","SUDESTE",768.088152131276,"MG",550719.205078125
"20","2019","2010","2017","2018","3100500","B",6.6,0.61,0.451,0.844,0.61,662,"Açucena","FUNDAMENTAL_ANOS_INICIAIS",9270,"Pública","SUDESTE",797.797276246224,"MG",528141.796875
"21","2013","2010","2011","2012","3100609","C",6,0.576,0.403,0.799,0.576,1796,"Água Boa","FUNDAMENTAL_ANOS_INICIAIS",13319,"Pública","SUDESTE",323.499612854955,"MG",581005.3046875
"22","2015","2010","2013","2014","3100609","C",6.2,0.576,0.403,0.799,0.576,1439,"Água Boa","FUNDAMENTAL_ANOS_INICIAIS",13319,"Pública","SUDESTE",500.460804486623,"MG",720163.09765625
"23","2017","2010","2015","2016","3100609","C",6.6,0.576,0.403,0.799,0.576,1220,"Água Boa","FUNDAMENTAL_ANOS_INICIAIS",13319,"Pública","SUDESTE",687.344915471311,"MG",838560.796875
"24","2019","2010","2017","2018","3100609","C",6.5,0.576,0.403,0.799,0.576,1167,"Água Boa","FUNDAMENTAL_ANOS_INICIAIS",13319,"Pública","SUDESTE",642.752108772494,"MG",750091.7109375
"25","2013","2010","2011","2012","3100708","A",5.8,0.675,0.498,0.86,0.675,172,"Água Comprida","FUNDAMENTAL_ANOS_INICIAIS",1986,"Pública","SUDESTE",740.177493073219,"MG",127310.528808594
"26","2015","2010","2013","2014","3100708","A",6.2,0.675,0.498,0.86,0.675,144,"Água Comprida","FUNDAMENTAL_ANOS_INICIAIS",1986,"Pública","SUDESTE",908.184997558594,"MG",130778.639648438
"27","2017","2010","2015","2016","3100708","A",5.7,0.675,0.498,0.86,0.675,133,"Água Comprida","FUNDAMENTAL_ANOS_INICIAIS",1986,"Pública","SUDESTE",1219.14473684211,"MG",162146.25
