"","ANO_IDEB","ANO_IDH","ANO_MATRICULA","ANO_REPASSE","CODIGO_MUNICIPIO","FAIXA_POP","IDEB_NOTA","IDHM","IDH_EDUCACAO","IDH_LONGEVIDADE","IDH_RENDA","MATRICULA","MUNICIPIO","PERIODO","POPULACAO","REDE","REGIAO","REPASSE_MATRICULA","UF","VALOR_REPASSADO_EDUCACAO"
"1","2013","2010","2011","2012","5000203","C",5.6,0.67,0.518,0.823,0.67,1656,"Água Clara","FUNDAMENTAL_ANOS_INICIAIS",16025,"Pública","CENTRO_OESTE",949.265761813104,"MS",1571984.1015625
"2","2015","2010","2013","2014","5000203","C",6.4,0.67,0.518,0.823,0.67,1507,"Água Clara","FUNDAMENTAL_ANOS_INICIAIS",16025,"Pública","CENTRO_OESTE",1259.62840079628,"MS",1898260
"3","2017","2010","2015","2016","5000203","C",6.1,0.67,0.518,0.823,0.67,1375,"Água Clara","FUNDAMENTAL_ANOS_INICIAIS",16025,"Pública","CENTRO_OESTE",1673.25963636364,"MS",2300732
"4","2019","2010","2017","2018","5000203","C",5.9,0.67,0.518,0.823,0.67,1278,"Água Clara","FUNDAMENTAL_ANOS_INICIAIS",16025,"Pública","CENTRO_OESTE",1972.63849765258,"MS",2521032
"5","2013","2010","2011","2012","5000252","B",5.5,0.711,0.572,0.858,0.711,444,"Alcinópolis","FUNDAMENTAL_ANOS_INICIAIS",5489,"Pública","CENTRO_OESTE",1057.26170115428,"MS",469424.1953125
"6","2015","2010","2013","2014","5000252","B",5.3,0.711,0.572,0.858,0.711,444,"Alcinópolis","FUNDAMENTAL_ANOS_INICIAIS",5489,"Pública","CENTRO_OESTE",1185.16283079955,"MS",526212.296875
"7","2017","2010","2015","2016","5000252","B",5.6,0.711,0.572,0.858,0.711,408,"Alcinópolis","FUNDAMENTAL_ANOS_INICIAIS",5489,"Pública","CENTRO_OESTE",1600.79854090074,"MS",653125.8046875
"8","2019","2010","2017","2018","5000252","B",5.3,0.711,0.572,0.858,0.711,373,"Alcinópolis","FUNDAMENTAL_ANOS_INICIAIS",5489,"Pública","CENTRO_OESTE",1727.11285187668,"MS",644213.09375
"9","2013","2010","2011","2012","5000609","D",5.7,0.673,0.546,0.818,0.673,3806,"Amambai","FUNDAMENTAL_ANOS_INICIAIS",40247,"Pública","CENTRO_OESTE",1107.48397267472,"MS",4215084
"10","2015","2010","2013","2014","5000609","D",5.7,0.673,0.546,0.818,0.673,3999,"Amambai","FUNDAMENTAL_ANOS_INICIAIS",40247,"Pública","CENTRO_OESTE",1287.32858214554,"MS",5148027
"11","2017","2010","2015","2016","5000609","D",5.5,0.673,0.546,0.818,0.673,4096,"Amambai","FUNDAMENTAL_ANOS_INICIAIS",40247,"Pública","CENTRO_OESTE",1585.45458984375,"MS",6494022
"12","2019","2010","2017","2018","5000609","D",6,0.673,0.546,0.818,0.673,4049,"Amambai","FUNDAMENTAL_ANOS_INICIAIS",40247,"Pública","CENTRO_OESTE",1662.87058532971,"MS",6732963
"13","2013","2010","2011","2012","5000708","D",4.4,0.663,0.557,0.789,0.663,2248,"Anastácio","FUNDAMENTAL_ANOS_INICIAIS",25336,"Pública","CENTRO_OESTE",601.607470529359,"MS",1352413.59375
"14","2015","2010","2013","2014","5000708","D",4.6,0.663,0.557,0.789,0.663,2106,"Anastácio","FUNDAMENTAL_ANOS_INICIAIS",25336,"Pública","CENTRO_OESTE",748.201188568376,"MS",1575711.703125
"15","2017","2010","2015","2016","5000708","D",4.4,0.663,0.557,0.789,0.663,2093,"Anastácio","FUNDAMENTAL_ANOS_INICIAIS",25336,"Pública","CENTRO_OESTE",1003.2121356904,"MS",2099723
"16","2019","2010","2017","2018","5000708","D",4.7,0.663,0.557,0.789,0.663,2063,"Anastácio","FUNDAMENTAL_ANOS_INICIAIS",25336,"Pública","CENTRO_OESTE",1060.70625302957,"MS",2188237
"17","2013","2010","2011","2012","5000807","B",4.6,0.67,0.538,0.826,0.67,805,"Anaurilândia","FUNDAMENTAL_ANOS_INICIAIS",9116,"Pública","CENTRO_OESTE",662.993167701863,"MS",533709.5
"18","2015","2010","2013","2014","5000807","B",4.6,0.67,0.538,0.826,0.67,744,"Anaurilândia","FUNDAMENTAL_ANOS_INICIAIS",9116,"Pública","CENTRO_OESTE",808.892336609543,"MS",601815.8984375
"19","2017","2010","2015","2016","5000807","B",5,0.67,0.538,0.826,0.67,658,"Anaurilândia","FUNDAMENTAL_ANOS_INICIAIS",9116,"Pública","CENTRO_OESTE",1041.40120393237,"MS",685241.9921875
