"","ANO_IDEB","ANO_IDH","ANO_MATRICULA","ANO_REPASSE","CODIGO_MUNICIPIO","FAIXA_POP","IDEB_NOTA","IDHM","IDH_EDUCACAO","IDH_LONGEVIDADE","IDH_RENDA","MATRICULA","MUNICIPIO","PERIODO","POPULACAO","REDE","REGIAO","REPASSE_MATRICULA","UF","VALOR_REPASSADO_EDUCACAO"
"1","2013","2010","2011","2012","5100102","B",4.9,0.628,0.51,0.816,0.628,592,"Acorizal","FUNDAMENTAL_ANOS_INICIAIS",5309,"Pública","CENTRO_OESTE",487.560975770693,"MT",288636.09765625
"2","2015","2010","2013","2014","5100102","B",5.1,0.628,0.51,0.816,0.628,456,"Acorizal","FUNDAMENTAL_ANOS_INICIAIS",5309,"Pública","CENTRO_OESTE",780.599780701754,"MT",355953.5
"3","2017","2010","2015","2016","5100102","B",5.1,0.628,0.51,0.816,0.628,502,"Acorizal","FUNDAMENTAL_ANOS_INICIAIS",5309,"Pública","CENTRO_OESTE",886.838641527639,"MT",445192.998046875
"4","2019","2010","2017","2018","5100102","B",5.6,0.628,0.51,0.816,0.628,411,"Acorizal","FUNDAMENTAL_ANOS_INICIAIS",5309,"Pública","CENTRO_OESTE",1090.35230858425,"MT",448134.798828125
"5","2013","2010","2011","2012","5100201","D",5.7,0.729,0.646,0.829,0.729,1706,"Água Boa","FUNDAMENTAL_ANOS_INICIAIS",26679,"Pública","CENTRO_OESTE",1286.61371629543,"MT",2194963
"6","2015","2010","2013","2014","5100201","D",6.1,0.729,0.646,0.829,0.729,1832,"Água Boa","FUNDAMENTAL_ANOS_INICIAIS",26679,"Pública","CENTRO_OESTE",1376.44978165939,"MT",2521656
"7","2017","2010","2015","2016","5100201","D",6.2,0.729,0.646,0.829,0.729,1775,"Água Boa","FUNDAMENTAL_ANOS_INICIAIS",26679,"Pública","CENTRO_OESTE",1598.01633802817,"MT",2836479
"8","2019","2010","2017","2018","5100201","D",6.2,0.729,0.646,0.829,0.729,1741,"Água Boa","FUNDAMENTAL_ANOS_INICIAIS",26679,"Pública","CENTRO_OESTE",1776.30384836301,"MT",3092545
"9","2013","2010","2011","2012","5100250","E",5.3,0.714,0.629,0.817,0.714,4258,"Alta Floresta","FUNDAMENTAL_ANOS_INICIAIS",52105,"Pública","CENTRO_OESTE",748.401127289807,"MT",3186692
"10","2015","2010","2013","2014","5100250","E",5.9,0.714,0.629,0.817,0.714,4207,"Alta Floresta","FUNDAMENTAL_ANOS_INICIAIS",52105,"Pública","CENTRO_OESTE",884.136201568814,"MT",3719561
"11","2017","2010","2015","2016","5100250","E",5.9,0.714,0.629,0.817,0.714,4196,"Alta Floresta","FUNDAMENTAL_ANOS_INICIAIS",52105,"Pública","CENTRO_OESTE",1136.43160152526,"MT",4768467
"12","2019","2010","2017","2018","5100250","E",5.7,0.714,0.629,0.817,0.714,3987,"Alta Floresta","FUNDAMENTAL_ANOS_INICIAIS",52105,"Pública","CENTRO_OESTE",1315.25808878856,"MT",5243934
"13","2013","2010","2011","2012","5100300","C",5.2,0.704,0.612,0.802,0.704,1408,"Alto Araguaia","FUNDAMENTAL_ANOS_INICIAIS",19714,"Pública","CENTRO_OESTE",702.249719793146,"MT",988767.60546875
