"","ANO_IDEB","ANO_IDH","ANO_MATRICULA","ANO_REPASSE","CODIGO_MUNICIPIO","FAIXA_POP","IDEB_NOTA","IDHM","IDH_EDUCACAO","IDH_LONGEVIDADE","IDH_RENDA","MATRICULA","MUNICIPIO","PERIODO","POPULACAO","REDE","REGIAO","REPASSE_MATRICULA","UF","VALOR_REPASSADO_EDUCACAO"
"1","2013","2010","2011","2012","2500106","C",4.6,0.572,0.484,0.712,0.572,1031,"Água Branca","FUNDAMENTAL_ANOS_INICIAIS",10375,"Pública","NORDESTE",2536.08826382153,"PB",2614707
"2","2015","2010","2013","2014","2500106","C",6,0.572,0.484,0.712,0.572,953,"Água Branca","FUNDAMENTAL_ANOS_INICIAIS",10375,"Pública","NORDESTE",3430.60063102538,"PB",3269362.40136719
"3","2017","2010","2015","2016","2500106","C",6.1,0.572,0.484,0.712,0.572,953,"Água Branca","FUNDAMENTAL_ANOS_INICIAIS",10375,"Pública","NORDESTE",4825.84250393494,"PB",4599027.90625
"4","2019","2010","2017","2018","2500106","C",6.1,0.572,0.484,0.712,0.572,906,"Água Branca","FUNDAMENTAL_ANOS_INICIAIS",10375,"Pública","NORDESTE",5139.40618101545,"PB",4656302
"5","2013","2010","2011","2012","2500205","B",3.9,0.597,0.447,0.753,0.597,560,"Aguiar","FUNDAMENTAL_ANOS_INICIAIS",5622,"Pública","NORDESTE",2211.74928850446,"PB",1238579.6015625
"6","2015","2010","2013","2014","2500205","B",4.6,0.597,0.447,0.753,0.597,522,"Aguiar","FUNDAMENTAL_ANOS_INICIAIS",5622,"Pública","NORDESTE",3355.09324581687,"PB",1751358.67431641
"7","2017","2010","2015","2016","2500205","B",4.8,0.597,0.447,0.753,0.597,440,"Aguiar","FUNDAMENTAL_ANOS_INICIAIS",5622,"Pública","NORDESTE",4648.83999689276,"PB",2045489.59863281
"8","2019","2010","2017","2018","2500205","B",4.8,0.597,0.447,0.753,0.597,403,"Aguiar","FUNDAMENTAL_ANOS_INICIAIS",5622,"Pública","NORDESTE",4055.32703939206,"PB",1634296.796875
"9","2013","2010","2011","2012","2500304","D",3.7,0.582,0.43,0.797,0.582,3328,"Alagoa Grande","FUNDAMENTAL_ANOS_INICIAIS",28384,"Pública","NORDESTE",2151.46063701923,"PB",7160061
"10","2015","2010","2013","2014","2500304","D",4.1,0.582,0.43,0.797,0.582,3210,"Alagoa Grande","FUNDAMENTAL_ANOS_INICIAIS",28384,"Pública","NORDESTE",2542.19975236079,"PB",8160461.20507812
"11","2017","2010","2015","2016","2500304","D",4.3,0.582,0.43,0.797,0.582,3119,"Alagoa Grande","FUNDAMENTAL_ANOS_INICIAIS",28384,"Pública","NORDESTE",3073.31645008416,"PB",9585674.0078125
"12","2019","2010","2017","2018","2500304","D",4.7,0.582,0.43,0.797,0.582,2850,"Alagoa Grande","FUNDAMENTAL_ANOS_INICIAIS",28384,"Pública","NORDESTE",3322.78421052632,"PB",9469935
"13","2013","2010","2011","2012","2500403","D",4.3,0.576,0.451,0.749,0.576,2176,"Alagoa Nova","FUNDAMENTAL_ANOS_INICIAIS",20992,"Pública","NORDESTE",2155.93014705882,"PB",4691304
"14","2015","2010","2013","2014","2500403","D",4.4,0.576,0.451,0.749,0.576,2014,"Alagoa Nova","FUNDAMENTAL_ANOS_INICIAIS",20992,"Pública","NORDESTE",2708.50640244849,"PB",5454931.89453125
"15","2017","2010","2015","2016","2500403","D",4.7,0.576,0.451,0.749,0.576,1929,"Alagoa Nova","FUNDAMENTAL_ANOS_INICIAIS",20992,"Pública","NORDESTE",3368.20938026503,"PB",6497275.89453125
"16","2019","2010","2017","2018","2500403","D",4.8,0.576,0.451,0.749,0.576,1820,"Alagoa Nova","FUNDAMENTAL_ANOS_INICIAIS",20992,"Pública","NORDESTE",3047.82682005495,"PB",5547044.8125
"17","2013","2010","2011","2012","2500502","C",3.9,0.595,0.462,0.795,0.595,1558,"Alagoinha","FUNDAMENTAL_ANOS_INICIAIS",14629,"Pública","NORDESTE",2005.99358151476,"PB",3125338
"18","2015","2010","2013","2014","2500502","C",4.2,0.595,0.462,0.795,0.595,1417,"Alagoinha","FUNDAMENTAL_ANOS_INICIAIS",14629,"Pública","NORDESTE",2880.7844043589,"PB",4082071.50097656
"19","2017","2010","2015","2016","2500502","C",3.8,0.595,0.462,0.795,0.595,1358,"Alagoinha","FUNDAMENTAL_ANOS_INICIAIS",14629,"Pública","NORDESTE",3733.43542606314,"PB",5070005.30859375
"20","2019","2010","2017","2018","2500502","C",4.5,0.595,0.462,0.795,0.595,1283,"Alagoinha","FUNDAMENTAL_ANOS_INICIAIS",14629,"Pública","NORDESTE",3550.8216704014,"PB",4555704.203125
"21","2013","2010","2011","2012","2500536","B",3.8,0.578,0.458,0.765,0.578,479,"Alcantil","FUNDAMENTAL_ANOS_INICIAIS",5527,"Pública","NORDESTE",2703.31024921712,"PB",1294885.609375
"22","2015","2010","2013","2014","2500536","B",4.6,0.578,0.458,0.765,0.578,472,"Alcantil","FUNDAMENTAL_ANOS_INICIAIS",5527,"Pública","NORDESTE",3215.74774376821,"PB",1517832.93505859
"23","2017","2010","2015","2016","2500536","B",5,0.578,0.458,0.765,0.578,476,"Alcantil","FUNDAMENTAL_ANOS_INICIAIS",5527,"Pública","NORDESTE",4592.57080898766,"PB",2186063.70507812
"24","2019","2010","2017","2018","2500536","B",5.2,0.578,0.458,0.765,0.578,438,"Alcantil","FUNDAMENTAL_ANOS_INICIAIS",5527,"Pública","NORDESTE",4655.74315068493,"PB",2039215.5
"25","2013","2010","2011","2012","2500577","A",3.9,0.548,0.413,0.749,0.548,343,"Algodão de Jandaíra","FUNDAMENTAL_ANOS_INICIAIS",2588,"Pública","NORDESTE",3102.49681122449,"PB",1064156.40625
"26","2015","2010","2013","2014","2500577","A",4,0.548,0.413,0.749,0.548,341,"Algodão de Jandaíra","FUNDAMENTAL_ANOS_INICIAIS",2588,"Pública","NORDESTE",3598.83519362285,"PB",1227202.80102539
"27","2017","2010","2015","2016","2500577","A",4.6,0.548,0.413,0.749,0.548,329,"Algodão de Jandaíra","FUNDAMENTAL_ANOS_INICIAIS",2588,"Pública","NORDESTE",4920.16656475589,"PB",1618734.79980469
"28","2019","2010","2017","2018","2500577","A",5.3,0.548,0.413,0.749,0.548,315,"Algodão de Jandaíra","FUNDAMENTAL_ANOS_INICIAIS",2588,"Pública","NORDESTE",4836.57716393849,"PB",1523521.80664062
"29","2013","2010","2011","2012","2500601","C",3.3,0.582,0.465,0.778,0.582,2351,"Alhandra","FUNDAMENTAL_ANOS_INICIAIS",19865,"Pública","NORDESTE",1693.72522330923,"PB",3981948
"30","2015","2010","2013","2014","2500601","C",3.9,0.582,0.465,0.778,0.582,2380,"Alhandra","FUNDAMENTAL_ANOS_INICIAIS",19865,"Pública","NORDESTE",2296.89953551733,"PB",5466620.89453125
"31","2017","2010","2015","2016","2500601","C",3.6,0.582,0.465,0.778,0.582,2268,"Alhandra","FUNDAMENTAL_ANOS_INICIAIS",19865,"Pública","NORDESTE",3490.68973042052,"PB",7916884.30859375
"32","2019","2010","2017","2018","2500601","C",4.7,0.582,0.465,0.778,0.582,2240,"Alhandra","FUNDAMENTAL_ANOS_INICIAIS",19865,"Pública","NORDESTE",3179.53678850446,"PB",7122162.40625
"33","2013","2010","2011","2012","2500700","C",4.3,0.608,0.49,0.782,0.608,1549,"São João do Rio do Peixe","FUNDAMENTAL_ANOS_INICIAIS",18020,"Pública","NORDESTE",2447.4506132989,"PB",3791101
"34","2015","2010","2013","2014","2500700","C",4.2,0.608,0.49,0.782,0.608,1469,"São João do Rio do Peixe","FUNDAMENTAL_ANOS_INICIAIS",18020,"Pública","NORDESTE",2267.12423151378,"PB",3330405.49609375
"35","2017","2010","2015","2016","2500700","C",4.6,0.608,0.49,0.782,0.608,1372,"São João do Rio do Peixe","FUNDAMENTAL_ANOS_INICIAIS",18020,"Pública","NORDESTE",4260.99599410077,"PB",5846086.50390625
"36","2019","2010","2017","2018","2500700","C",4.9,0.608,0.49,0.782,0.608,1329,"São João do Rio do Peixe","FUNDAMENTAL_ANOS_INICIAIS",18020,"Pública","NORDESTE",5045.94777558314,"PB",6706064.59375
"37","2013","2010","2011","2012","2500734","A",3.8,0.606,0.551,0.752,0.606,223,"Amparo","FUNDAMENTAL_ANOS_INICIAIS",2264,"Pública","NORDESTE",3146.99821328475,"PB",701780.6015625
