"","ANO_IDEB","ANO_IDH","ANO_MATRICULA","ANO_REPASSE","CODIGO_MUNICIPIO","FAIXA_POP","IDEB_NOTA","IDHM","IDH_EDUCACAO","IDH_LONGEVIDADE","IDH_RENDA","MATRICULA","MUNICIPIO","PERIODO","POPULACAO","REDE","REGIAO","REPASSE_MATRICULA","UF","VALOR_REPASSADO_EDUCACAO"
"1","2013","2010","2011","2012","2600054","F",3.9,0.679,0.632,0.791,0.679,7235,"Abreu e Lima","FUNDAMENTAL_ANOS_INICIAIS",100698,"Pública","NORDESTE",776.252107809261,"PE",5616184
"2","2015","2010","2013","2014","2600054","F",4.3,0.679,0.632,0.791,0.679,7257,"Abreu e Lima","FUNDAMENTAL_ANOS_INICIAIS",100698,"Pública","NORDESTE",1016.37144631907,"PE",7375807.5859375
"3","2017","2010","2015","2016","2600054","F",4.5,0.679,0.632,0.791,0.679,7196,"Abreu e Lima","FUNDAMENTAL_ANOS_INICIAIS",100698,"Pública","NORDESTE",1329.8274041134,"PE",9569438
"4","2019","2010","2017","2018","2600054","F",5,0.679,0.632,0.791,0.679,7329,"Abreu e Lima","FUNDAMENTAL_ANOS_INICIAIS",100698,"Pública","NORDESTE",1358.28189384636,"PE",9954848
"5","2013","2010","2011","2012","2600104","D",5,0.657,0.565,0.807,0.657,3037,"Afogados da Ingazeira","FUNDAMENTAL_ANOS_INICIAIS",37546,"Pública","NORDESTE",1724.73822851498,"PE",5238030
"6","2015","2010","2013","2014","2600104","D",5.4,0.657,0.565,0.807,0.657,3352,"Afogados da Ingazeira","FUNDAMENTAL_ANOS_INICIAIS",37546,"Pública","NORDESTE",2073.0850867952,"PE",6948981.2109375
"7","2017","2010","2015","2016","2600104","D",5.5,0.657,0.565,0.807,0.657,3329,"Afogados da Ingazeira","FUNDAMENTAL_ANOS_INICIAIS",37546,"Pública","NORDESTE",2633.44247521778,"PE",8766730
"8","2019","2010","2017","2018","2600104","D",6.1,0.657,0.565,0.807,0.657,3227,"Afogados da Ingazeira","FUNDAMENTAL_ANOS_INICIAIS",37546,"Pública","NORDESTE",3028.13603966532,"PE",9771795
"9","2013","2010","2011","2012","2600203","C",4.6,0.588,0.493,0.761,0.588,1827,"Afrânio","FUNDAMENTAL_ANOS_INICIAIS",19981,"Pública","NORDESTE",2514.54789272031,"PE",4594079
"10","2015","2010","2013","2014","2600203","C",4.6,0.588,0.493,0.761,0.588,1880,"Afrânio","FUNDAMENTAL_ANOS_INICIAIS",19981,"Pública","NORDESTE",2921.07388214761,"PE",5491618.8984375
"11","2017","2010","2015","2016","2600203","C",4.6,0.588,0.493,0.761,0.588,1886,"Afrânio","FUNDAMENTAL_ANOS_INICIAIS",19981,"Pública","NORDESTE",3181.28054579799,"PE",5999895.109375
"12","2019","2010","2017","2018","2600203","C",5.1,0.588,0.493,0.761,0.588,1488,"Afrânio","FUNDAMENTAL_ANOS_INICIAIS",19981,"Pública","NORDESTE",3724.26251680108,"PE",5541702.625
"13","2013","2010","2011","2012","2600302","D",3.7,0.592,0.47,0.76,0.592,2491,"Agrestina","FUNDAMENTAL_ANOS_INICIAIS",25240,"Pública","NORDESTE",1897.76395022079,"PE",4727330
"14","2015","2010","2013","2014","2600302","D",4.2,0.592,0.47,0.76,0.592,2265,"Agrestina","FUNDAMENTAL_ANOS_INICIAIS",25240,"Pública","NORDESTE",2611.64874103201,"PE",5915384.3984375
"15","2017","2010","2015","2016","2600302","D",4.4,0.592,0.47,0.76,0.592,2147,"Agrestina","FUNDAMENTAL_ANOS_INICIAIS",25240,"Pública","NORDESTE",3223.68537858058,"PE",6921252.5078125
"16","2019","2010","2017","2018","2600302","D",5,0.592,0.47,0.76,0.592,2114,"Agrestina","FUNDAMENTAL_ANOS_INICIAIS",25240,"Pública","NORDESTE",3304.53935075686,"PE",6985796.1875
"17","2013","2010","2011","2012","2600401","D",3.2,0.553,0.432,0.761,0.553,3208,"Água Preta","FUNDAMENTAL_ANOS_INICIAIS",37386,"Pública","NORDESTE",2143.98690773067,"PE",6877910
"18","2015","2010","2013","2014","2600401","D",4.4,0.553,0.432,0.761,0.553,2788,"Água Preta","FUNDAMENTAL_ANOS_INICIAIS",37386,"Pública","NORDESTE",2967.47543041607,"PE",8273321.5
"19","2017","2010","2015","2016","2600401","D",4.6,0.553,0.432,0.761,0.553,2610,"Água Preta","FUNDAMENTAL_ANOS_INICIAIS",37386,"Pública","NORDESTE",3272.97777777778,"PE",8542472
"20","2019","2010","2017","2018","2600401","D",4.8,0.553,0.432,0.761,0.553,2520,"Água Preta","FUNDAMENTAL_ANOS_INICIAIS",37386,"Pública","NORDESTE",3319.6376984127,"PE",8365487
"21","2013","2010","2011","2012","2600500","D",3.4,0.526,0.385,0.691,0.526,6444,"Águas Belas","FUNDAMENTAL_ANOS_INICIAIS",43923,"Pública","NORDESTE",1554.0086902545,"PE",10014032
"22","2015","2010","2013","2014","2600500","D",4.2,0.526,0.385,0.691,0.526,5704,"Águas Belas","FUNDAMENTAL_ANOS_INICIAIS",43923,"Pública","NORDESTE",2177.79488078541,"PE",12422142
"23","2017","2010","2015","2016","2600500","D",5.1,0.526,0.385,0.691,0.526,5220,"Águas Belas","FUNDAMENTAL_ANOS_INICIAIS",43923,"Pública","NORDESTE",2522.09770114943,"PE",13165350
"24","2019","2010","2017","2018","2600500","D",4.7,0.526,0.385,0.691,0.526,4950,"Águas Belas","FUNDAMENTAL_ANOS_INICIAIS",43923,"Pública","NORDESTE",2616.13474747475,"PE",12949867
"25","2013","2010","2011","2012","2600609","C",4.4,0.599,0.472,0.801,0.599,1403,"Alagoinha","FUNDAMENTAL_ANOS_INICIAIS",14798,"Pública","NORDESTE",2018.54668567356,"PE",2832021
"26","2015","2010","2013","2014","2600609","C",4,0.599,0.472,0.801,0.599,1377,"Alagoinha","FUNDAMENTAL_ANOS_INICIAIS",14798,"Pública","NORDESTE",2595.0895458878,"PE",3573438.3046875
"27","2017","2010","2015","2016","2600609","C",4.8,0.599,0.472,0.801,0.599,1447,"Alagoinha","FUNDAMENTAL_ANOS_INICIAIS",14798,"Pública","NORDESTE",3106.28237841223,"PE",4494790.6015625
"28","2019","2010","2017","2018","2600609","C",4.5,0.599,0.472,0.801,0.599,1363,"Alagoinha","FUNDAMENTAL_ANOS_INICIAIS",14798,"Pública","NORDESTE",3476.77228539985,"PE",4738840.625
"29","2013","2010","2011","2012","2600708","D",3,0.604,0.488,0.799,0.604,4008,"Aliança","FUNDAMENTAL_ANOS_INICIAIS",38408,"Pública","NORDESTE",1830.00948103792,"PE",7334678
"30","2017","2010","2015","2016","2600708","D",3.4,0.604,0.488,0.799,0.604,3846,"Aliança","FUNDAMENTAL_ANOS_INICIAIS",38408,"Pública","NORDESTE",2453.97347893916,"PE",9437982
