"","ANO_IDEB","ANO_IDH","ANO_MATRICULA","ANO_REPASSE","CODIGO_MUNICIPIO","FAIXA_POP","IDEB_NOTA","IDHM","IDH_EDUCACAO","IDH_LONGEVIDADE","IDH_RENDA","MATRICULA","MUNICIPIO","PERIODO","POPULACAO","REDE","REGIAO","REPASSE_MATRICULA","UF","VALOR_REPASSADO_EDUCACAO"
"1","2013","2010","2011","2012","2200053","B",4.9,0.528,0.411,0.692,0.528,712,"Acauã","FUNDAMENTAL_ANOS_INICIAIS",7119,"Pública","NORDESTE",3114.03230337079,"PI",2217191
"2","2015","2010","2013","2014","2200053","B",5.1,0.528,0.411,0.692,0.528,649,"Acauã","FUNDAMENTAL_ANOS_INICIAIS",7119,"Pública","NORDESTE",3854.72402855354,"PI",2501715.89453125
"3","2017","2010","2015","2016","2200053","B",5.5,0.528,0.411,0.692,0.528,568,"Acauã","FUNDAMENTAL_ANOS_INICIAIS",7119,"Pública","NORDESTE",4980.93487978653,"PI",2829171.01171875
"4","2019","2010","2017","2018","2200053","B",5.6,0.528,0.411,0.692,0.528,526,"Acauã","FUNDAMENTAL_ANOS_INICIAIS",7119,"Pública","NORDESTE",5572.65568559886,"PI",2931216.890625
"5","2013","2010","2011","2012","2200103","B",3.8,0.599,0.526,0.742,0.599,558,"Agricolândia","FUNDAMENTAL_ANOS_INICIAIS",5123,"Pública","NORDESTE",2402.91721270161,"PI",1340827.8046875
"6","2015","2010","2013","2014","2200103","B",4.3,0.599,0.526,0.742,0.599,425,"Agricolândia","FUNDAMENTAL_ANOS_INICIAIS",5123,"Pública","NORDESTE",3753.75412224265,"PI",1595345.50195312
"7","2017","2010","2015","2016","2200103","B",4.5,0.599,0.526,0.742,0.599,468,"Agricolândia","FUNDAMENTAL_ANOS_INICIAIS",5123,"Pública","NORDESTE",4147.4594017094,"PI",1941011
"8","2019","2010","2017","2018","2200103","B",4.8,0.599,0.526,0.742,0.599,457,"Agricolândia","FUNDAMENTAL_ANOS_INICIAIS",5123,"Pública","NORDESTE",4267.50941944748,"PI",1950251.8046875
"9","2013","2010","2011","2012","2200202","C",4.9,0.639,0.569,0.763,0.639,1769,"Água Branca","FUNDAMENTAL_ANOS_INICIAIS",17525,"Pública","NORDESTE",2612.46410401357,"PI",4621449
"10","2015","2010","2013","2014","2200202","C",5.4,0.639,0.569,0.763,0.639,1528,"Água Branca","FUNDAMENTAL_ANOS_INICIAIS",17525,"Pública","NORDESTE",3782.75327225131,"PI",5780047
