"","ANO_IDEB","ANO_IDH","ANO_MATRICULA","ANO_REPASSE","CODIGO_MUNICIPIO","FAIXA_POP","IDEB_NOTA","IDHM","IDH_EDUCACAO","IDH_LONGEVIDADE","IDH_RENDA","MATRICULA","MUNICIPIO","PERIODO","POPULACAO","REDE","REGIAO","REPASSE_MATRICULA","UF","VALOR_REPASSADO_EDUCACAO"
"1","2013","2010","2011","2012","4100103","B",5,0.687,0.596,0.804,0.687,544,"Abatiá","FUNDAMENTAL_ANOS_INICIAIS",7360,"Pública","SUL",690.558091107537,"PR",375663.6015625
"2","2015","2010","2013","2014","4100103","B",5.5,0.687,0.596,0.804,0.687,540,"Abatiá","FUNDAMENTAL_ANOS_INICIAIS",7360,"Pública","SUL",937.566847511574,"PR",506286.09765625
"3","2017","2010","2015","2016","4100103","B",5.9,0.687,0.596,0.804,0.687,474,"Abatiá","FUNDAMENTAL_ANOS_INICIAIS",7360,"Pública","SUL",1135.9459965058,"PR",538438.40234375
"4","2019","2010","2017","2018","4100103","B",6.1,0.687,0.596,0.804,0.687,408,"Abatiá","FUNDAMENTAL_ANOS_INICIAIS",7360,"Pública","SUL",1493.25662530637,"PR",609248.703125
"5","2013","2010","2011","2012","4100202","B",5,0.667,0.563,0.817,0.667,566,"Adrianópolis","FUNDAMENTAL_ANOS_INICIAIS",5797,"Pública","SUL",724.004762036219,"PR",409786.6953125
"6","2015","2010","2013","2014","4100202","B",5.1,0.667,0.563,0.817,0.667,693,"Adrianópolis","FUNDAMENTAL_ANOS_INICIAIS",5797,"Pública","SUL",815.077499323593,"PR",564848.70703125
"7","2017","2010","2015","2016","4100202","B",5.7,0.667,0.563,0.817,0.667,561,"Adrianópolis","FUNDAMENTAL_ANOS_INICIAIS",5797,"Pública","SUL",1018.25384010138,"PR",571240.404296875
"8","2019","2010","2017","2018","4100202","B",6.7,0.667,0.563,0.817,0.667,473,"Adrianópolis","FUNDAMENTAL_ANOS_INICIAIS",5797,"Pública","SUL",1189.30614098837,"PR",562541.8046875
"9","2013","2010","2011","2012","4100301","B",4.9,0.66,0.543,0.79,0.66,714,"Agudos do Sul","FUNDAMENTAL_ANOS_INICIAIS",9567,"Pública","SUL",715.053511248249,"PR",510548.20703125
"10","2015","2010","2013","2014","4100301","B",5.3,0.66,0.543,0.79,0.66,727,"Agudos do Sul","FUNDAMENTAL_ANOS_INICIAIS",9567,"Pública","SUL",874.903719265818,"PR",636055.00390625
"11","2017","2010","2015","2016","4100301","B",5.2,0.66,0.543,0.79,0.66,696,"Agudos do Sul","FUNDAMENTAL_ANOS_INICIAIS",9567,"Pública","SUL",1094.97240930316,"PR",762100.796875
"12","2019","2010","2017","2018","4100301","B",5.8,0.66,0.543,0.79,0.66,656,"Agudos do Sul","FUNDAMENTAL_ANOS_INICIAIS",9567,"Pública","SUL",1264.43520745998,"PR",829469.49609375
"13","2013","2010","2011","2012","4100400","F",4.9,0.699,0.575,0.84,0.699,8565,"Almirante Tamandaré","FUNDAMENTAL_ANOS_INICIAIS",121420,"Pública","SUL",666.621599532983,"PR",5709614
"14","2015","2010","2013","2014","4100400","F",5,0.699,0.575,0.84,0.699,8557,"Almirante Tamandaré","FUNDAMENTAL_ANOS_INICIAIS",121420,"Pública","SUL",794.92064976043,"PR",6802136
"15","2017","2010","2015","2016","4100400","F",5.1,0.699,0.575,0.84,0.699,8311,"Almirante Tamandaré","FUNDAMENTAL_ANOS_INICIAIS",121420,"Pública","SUL",943.885573336542,"PR",7844633
"16","2019","2010","2017","2018","4100400","F",5.2,0.699,0.575,0.84,0.699,6966,"Almirante Tamandaré","FUNDAMENTAL_ANOS_INICIAIS",121420,"Pública","SUL",1100.94071202986,"PR",7669153
"17","2013","2010","2011","2012","4100459","A",5,0.667,0.571,0.78,0.667,366,"Altamira do Paraná","FUNDAMENTAL_ANOS_INICIAIS",1429,"Pública","SUL",705.383335467896,"PR",258170.30078125
"18","2015","2010","2013","2014","4100459","A",5.4,0.667,0.571,0.78,0.667,357,"Altamira do Paraná","FUNDAMENTAL_ANOS_INICIAIS",1429,"Pública","SUL",837.356863839286,"PR",298936.400390625
"19","2017","2010","2015","2016","4100459","A",4.9,0.667,0.571,0.78,0.667,301,"Altamira do Paraná","FUNDAMENTAL_ANOS_INICIAIS",1429,"Pública","SUL",1098.20997715947,"PR",330561.203125
"20","2019","2010","2017","2018","4100459","A",5.9,0.667,0.571,0.78,0.667,286,"Altamira do Paraná","FUNDAMENTAL_ANOS_INICIAIS",1429,"Pública","SUL",1268.83181954764,"PR",362885.900390625
"21","2013","2010","2011","2012","4100509","D",5.8,0.721,0.641,0.848,0.721,1303,"Altônia","FUNDAMENTAL_ANOS_INICIAIS",22293,"Pública","SUL",794.934532089409,"PR",1035799.6953125
"22","2015","2010","2013","2014","4100509","D",6.1,0.721,0.641,0.848,0.721,1290,"Altônia","FUNDAMENTAL_ANOS_INICIAIS",22293,"Pública","SUL",915.924497335271,"PR",1181542.6015625
"23","2017","2010","2015","2016","4100509","D",6.9,0.721,0.641,0.848,0.721,1271,"Altônia","FUNDAMENTAL_ANOS_INICIAIS",22293,"Pública","SUL",1272.18276701416,"PR",1616944.296875
"24","2019","2010","2017","2018","4100509","D",6.8,0.721,0.641,0.848,0.721,1265,"Altônia","FUNDAMENTAL_ANOS_INICIAIS",22293,"Pública","SUL",1372.24980237154,"PR",1735896
"25","2013","2010","2011","2012","4100608","C",5.3,0.696,0.587,0.846,0.696,1123,"Alto Paraná","FUNDAMENTAL_ANOS_INICIAIS",14945,"Pública","SUL",787.8810315561,"PR",884790.3984375
"26","2015","2010","2013","2014","4100608","C",5.9,0.696,0.587,0.846,0.696,1076,"Alto Paraná","FUNDAMENTAL_ANOS_INICIAIS",14945,"Pública","SUL",1018.47035461199,"PR",1095874.1015625
"27","2017","2010","2015","2016","4100608","C",5.6,0.696,0.587,0.846,0.696,1019,"Alto Paraná","FUNDAMENTAL_ANOS_INICIAIS",14945,"Pública","SUL",1265.56437837341,"PR",1289610.1015625
"28","2019","2010","2017","2018","4100608","C",6,0.696,0.587,0.846,0.696,883,"Alto Paraná","FUNDAMENTAL_ANOS_INICIAIS",14945,"Pública","SUL",1507.64824285108,"PR",1331253.3984375
"29","2013","2010","2011","2012","4100707","B",4.9,0.676,0.578,0.798,0.676,692,"Alto Piquiri","FUNDAMENTAL_ANOS_INICIAIS",9722,"Pública","SUL",822.784540959176,"PR",569366.90234375
"30","2015","2010","2013","2014","4100707","B",5.5,0.676,0.578,0.798,0.676,738,"Alto Piquiri","FUNDAMENTAL_ANOS_INICIAIS",9722,"Pública","SUL",1049.60852811653,"PR",774611.09375
"31","2017","2010","2015","2016","4100707","B",5.5,0.676,0.578,0.798,0.676,751,"Alto Piquiri","FUNDAMENTAL_ANOS_INICIAIS",9722,"Pública","SUL",1376.22343125832,"PR",1033543.796875
"32","2019","2010","2017","2018","4100707","B",5.7,0.676,0.578,0.798,0.676,741,"Alto Piquiri","FUNDAMENTAL_ANOS_INICIAIS",9722,"Pública","SUL",1504.67421558704,"PR",1114963.59375
"33","2013","2010","2011","2012","4100806","C",5.3,0.708,0.617,0.826,0.708,579,"Alvorada do Sul","FUNDAMENTAL_ANOS_INICIAIS",11598,"Pública","SUL",763.102594721503,"PR",441836.40234375
"34","2015","2010","2013","2014","4100806","C",5.3,0.708,0.617,0.826,0.708,528,"Alvorada do Sul","FUNDAMENTAL_ANOS_INICIAIS",11598,"Pública","SUL",1136.08257871686,"PR",599851.6015625
"35","2017","2010","2015","2016","4100806","C",5.3,0.708,0.617,0.826,0.708,545,"Alvorada do Sul","FUNDAMENTAL_ANOS_INICIAIS",11598,"Pública","SUL",1324.28311353211,"PR",721734.296875
"36","2019","2010","2017","2018","4100806","C",5.5,0.708,0.617,0.826,0.708,525,"Alvorada do Sul","FUNDAMENTAL_ANOS_INICIAIS",11598,"Pública","SUL",1559.91294642857,"PR",818954.296875
"37","2013","2010","2011","2012","4100905","B",4.4,0.669,0.591,0.785,0.669,476,"Amaporã","FUNDAMENTAL_ANOS_INICIAIS",6405,"Pública","SUL",806.6941184677,"PR",383986.400390625
"38","2015","2010","2013","2014","4100905","B",5,0.669,0.591,0.785,0.669,504,"Amaporã","FUNDAMENTAL_ANOS_INICIAIS",6405,"Pública","SUL",937.5811515687,"PR",472540.900390625
"39","2017","2010","2015","2016","4100905","B",5.2,0.669,0.591,0.785,0.669,465,"Amaporã","FUNDAMENTAL_ANOS_INICIAIS",6405,"Pública","SUL",1236.94687920027,"PR",575180.298828125
"40","2019","2010","2017","2018","4100905","B",6.1,0.669,0.591,0.785,0.669,430,"Amaporã","FUNDAMENTAL_ANOS_INICIAIS",6405,"Pública","SUL",1377.70535973837,"PR",592413.3046875
"41","2013","2010","2011","2012","4101002","C",6.2,0.709,0.62,0.824,0.709,1294,"Ampére","FUNDAMENTAL_ANOS_INICIAIS",19466,"Pública","SUL",828.71777796561,"PR",1072360.8046875
"42","2015","2010","2013","2014","4101002","C",6.1,0.709,0.62,0.824,0.709,1275,"Ampére","FUNDAMENTAL_ANOS_INICIAIS",19466,"Pública","SUL",1065.1759129902,"PR",1358099.2890625
"43","2017","2010","2015","2016","4101002","C",6.7,0.709,0.62,0.824,0.709,1250,"Ampére","FUNDAMENTAL_ANOS_INICIAIS",19466,"Pública","SUL",1316.05055625,"PR",1645063.1953125
"44","2019","2010","2017","2018","4101002","C",6.7,0.709,0.62,0.824,0.709,1320,"Ampére","FUNDAMENTAL_ANOS_INICIAIS",19466,"Pública","SUL",1437.85,"PR",1897962
"45","2013","2010","2011","2012","4101051","A",5.9,0.695,0.593,0.844,0.695,195,"Anahy","FUNDAMENTAL_ANOS_INICIAIS",2774,"Pública","SUL",835.043073918269,"PR",162833.399414062
