"","ANO_IDEB","ANO_IDH","ANO_MATRICULA","ANO_REPASSE","CODIGO_MUNICIPIO","FAIXA_POP","IDEB_NOTA","IDHM","IDH_EDUCACAO","IDH_LONGEVIDADE","IDH_RENDA","MATRICULA","MUNICIPIO","PERIODO","POPULACAO","REDE","REGIAO","REPASSE_MATRICULA","UF","VALOR_REPASSADO_EDUCACAO"
"1","2013","2010","2011","2012","3300100","G",5.1,0.724,0.605,0.846,0.724,14976,"Angra dos Reis","FUNDAMENTAL_ANOS_INICIAIS",210171,"Pública","SUDESTE",419.231971153846,"RJ",6278418
"2","2015","2010","2013","2014","3300100","G",4.9,0.724,0.605,0.846,0.724,14335,"Angra dos Reis","FUNDAMENTAL_ANOS_INICIAIS",210171,"Pública","SUDESTE",510.405580746425,"RJ",7316664
"3","2017","2010","2015","2016","3300100","G",5.1,0.724,0.605,0.846,0.724,13481,"Angra dos Reis","FUNDAMENTAL_ANOS_INICIAIS",210171,"Pública","SUDESTE",643.746680513315,"RJ",8678349
"4","2019","2010","2017","2018","3300100","G",5.1,0.724,0.605,0.846,0.724,12076,"Angra dos Reis","FUNDAMENTAL_ANOS_INICIAIS",210171,"Pública","SUDESTE",753.421497184498,"RJ",9098318
"5","2013","2010","2011","2012","3300159","C",5.4,0.692,0.631,0.785,0.692,698,"Aperibé","FUNDAMENTAL_ANOS_INICIAIS",12036,"Pública","SUDESTE",514.756155981375,"RJ",359299.796875
"6","2015","2010","2013","2014","3300159","C",5.3,0.692,0.631,0.785,0.692,718,"Aperibé","FUNDAMENTAL_ANOS_INICIAIS",12036,"Pública","SUDESTE",626.097359744951,"RJ",449537.904296875
"7","2017","2010","2015","2016","3300159","C",5.9,0.692,0.631,0.785,0.692,562,"Aperibé","FUNDAMENTAL_ANOS_INICIAIS",12036,"Pública","SUDESTE",963.725068116103,"RJ",541613.48828125
"8","2019","2010","2017","2018","3300159","C",5.5,0.692,0.631,0.785,0.692,469,"Aperibé","FUNDAMENTAL_ANOS_INICIAIS",12036,"Pública","SUDESTE",1270.06417410714,"RJ",595660.09765625
"9","2013","2010","2011","2012","3300209","F",4.4,0.718,0.617,0.839,0.718,10731,"Araruama","FUNDAMENTAL_ANOS_INICIAIS",136109,"Pública","SUDESTE",480.926474699469,"RJ",5160822
"10","2015","2010","2013","2014","3300209","F",4.9,0.718,0.617,0.839,0.718,10578,"Araruama","FUNDAMENTAL_ANOS_INICIAIS",136109,"Pública","SUDESTE",611.008980903763,"RJ",6463253
"11","2017","2010","2015","2016","3300209","F",5.1,0.718,0.617,0.839,0.718,10352,"Araruama","FUNDAMENTAL_ANOS_INICIAIS",136109,"Pública","SUDESTE",765.011881761978,"RJ",7919403
"12","2019","2010","2017","2018","3300209","F",5.4,0.718,0.617,0.839,0.718,9905,"Araruama","FUNDAMENTAL_ANOS_INICIAIS",136109,"Pública","SUDESTE",837.783139828369,"RJ",8298242
"13","2013","2010","2011","2012","3300225","C",5,0.684,0.566,0.823,0.684,1013,"Areal","FUNDAMENTAL_ANOS_INICIAIS",12763,"Pública","SUDESTE",556.793284951876,"RJ",564031.59765625
"14","2015","2010","2013","2014","3300225","C",5.1,0.684,0.566,0.823,0.684,902,"Areal","FUNDAMENTAL_ANOS_INICIAIS",12763,"Pública","SUDESTE",762.254768050166,"RJ",687553.80078125
"15","2017","2010","2015","2016","3300225","C",5.6,0.684,0.566,0.823,0.684,841,"Areal","FUNDAMENTAL_ANOS_INICIAIS",12763,"Pública","SUDESTE",942.671099323722,"RJ",792786.39453125
"16","2019","2010","2017","2018","3300225","C",6,0.684,0.566,0.823,0.684,841,"Areal","FUNDAMENTAL_ANOS_INICIAIS",12763,"Pública","SUDESTE",1041.63126114744,"RJ",876011.890625
"17","2013","2010","2011","2012","3300258","D",4.5,0.733,0.677,0.805,0.733,2476,"Arraial do Cabo","FUNDAMENTAL_ANOS_INICIAIS",30827,"Pública","SUDESTE",458.4021039479,"RJ",1135003.609375
"18","2015","2010","2013","2014","3300258","D",4.6,0.733,0.677,0.805,0.733,2377,"Arraial do Cabo","FUNDAMENTAL_ANOS_INICIAIS",30827,"Pública","SUDESTE",625.320657604123,"RJ",1486387.203125
"19","2017","2010","2015","2016","3300258","D",5,0.733,0.677,0.805,0.733,2391,"Arraial do Cabo","FUNDAMENTAL_ANOS_INICIAIS",30827,"Pública","SUDESTE",769.618151401087,"RJ",1840157
"20","2019","2010","2017","2018","3300258","D",5.6,0.733,0.677,0.805,0.733,2490,"Arraial do Cabo","FUNDAMENTAL_ANOS_INICIAIS",30827,"Pública","SUDESTE",805.114457831325,"RJ",2004735
"21","2013","2010","2011","2012","3300308","F",4.6,0.733,0.665,0.819,0.733,7363,"Barra do Piraí","FUNDAMENTAL_ANOS_INICIAIS",101139,"Pública","SUDESTE",278.801711258998,"RJ",2052817
"22","2015","2010","2013","2014","3300308","F",4.8,0.733,0.665,0.819,0.733,6894,"Barra do Piraí","FUNDAMENTAL_ANOS_INICIAIS",101139,"Pública","SUDESTE",381.105889178996,"RJ",2627344
"23","2017","2010","2015","2016","3300308","F",5.2,0.733,0.665,0.819,0.733,6234,"Barra do Piraí","FUNDAMENTAL_ANOS_INICIAIS",101139,"Pública","SUDESTE",551.112287455887,"RJ",3435634
"24","2019","2010","2017","2018","3300308","F",5.4,0.733,0.665,0.819,0.733,6025,"Barra do Piraí","FUNDAMENTAL_ANOS_INICIAIS",101139,"Pública","SUDESTE",614.423070539419,"RJ",3701899
"25","2013","2010","2011","2012","3300407","F",5.2,0.729,0.657,0.819,0.729,12818,"Barra Mansa","FUNDAMENTAL_ANOS_INICIAIS",185237,"Pública","SUDESTE",419.560617881105,"RJ",5377928
"26","2015","2010","2013","2014","3300407","F",5.4,0.729,0.657,0.819,0.729,12477,"Barra Mansa","FUNDAMENTAL_ANOS_INICIAIS",185237,"Pública","SUDESTE",509.949747535465,"RJ",6362643
