"","ANO_IDEB","ANO_IDH","ANO_MATRICULA","ANO_REPASSE","CODIGO_MUNICIPIO","FAIXA_POP","IDEB_NOTA","IDHM","IDH_EDUCACAO","IDH_LONGEVIDADE","IDH_RENDA","MATRICULA","MUNICIPIO","PERIODO","POPULACAO","REDE","REGIAO","REPASSE_MATRICULA","UF","VALOR_REPASSADO_EDUCACAO"
"1","2013","2010","2011","2012","2400109","C",5.6,0.679,0.634,0.779,0.679,720,"Acari","FUNDAMENTAL_ANOS_INICIAIS",11106,"Pública","NORDESTE",2089.60528428819,"RN",1504515.8046875
"2","2015","2010","2013","2014","2400109","C",5.9,0.679,0.634,0.779,0.679,751,"Acari","FUNDAMENTAL_ANOS_INICIAIS",11106,"Pública","NORDESTE",2705.3890762837,"RN",2031747.19628906
"3","2017","2010","2015","2016","2400109","C",6.6,0.679,0.634,0.779,0.679,709,"Acari","FUNDAMENTAL_ANOS_INICIAIS",11106,"Pública","NORDESTE",3547.87588152327,"RN",2515444
"4","2019","2010","2017","2018","2400109","C",6.8,0.679,0.634,0.779,0.679,678,"Acari","FUNDAMENTAL_ANOS_INICIAIS",11106,"Pública","NORDESTE",4083.91002949853,"RN",2768891
"5","2013","2010","2011","2012","2400307","C",3.4,0.585,0.502,0.713,0.585,1062,"Afonso Bezerra","FUNDAMENTAL_ANOS_INICIAIS",11024,"Pública","NORDESTE",1832.12711864407,"RN",1945719
"6","2015","2010","2013","2014","2400307","C",3.9,0.585,0.502,0.713,0.585,1021,"Afonso Bezerra","FUNDAMENTAL_ANOS_INICIAIS",11024,"Pública","NORDESTE",2163.36248928746,"RN",2208793.1015625
"7","2017","2010","2015","2016","2400307","C",3.9,0.585,0.502,0.713,0.585,900,"Afonso Bezerra","FUNDAMENTAL_ANOS_INICIAIS",11024,"Pública","NORDESTE",3038.84,"RN",2734956
"8","2019","2010","2017","2018","2400307","C",4,0.585,0.502,0.713,0.585,873,"Afonso Bezerra","FUNDAMENTAL_ANOS_INICIAIS",11024,"Pública","NORDESTE",3467.27605956472,"RN",3026932
"9","2013","2010","2011","2012","2400406","A",4.3,0.616,0.572,0.776,0.616,270,"Água Nova","FUNDAMENTAL_ANOS_INICIAIS",3293,"Pública","NORDESTE",2689.63774594907,"RN",726202.19140625
"10","2015","2010","2013","2014","2400406","A",5.1,0.616,0.572,0.776,0.616,246,"Água Nova","FUNDAMENTAL_ANOS_INICIAIS",3293,"Pública","NORDESTE",3971.52074798336,"RN",976994.104003906
"11","2017","2010","2015","2016","2400406","A",5,0.616,0.572,0.776,0.616,265,"Água Nova","FUNDAMENTAL_ANOS_INICIAIS",3293,"Pública","NORDESTE",4152.62796285377,"RN",1100446.41015625
"12","2019","2010","2017","2018","2400406","A",4.8,0.616,0.572,0.776,0.616,283,"Água Nova","FUNDAMENTAL_ANOS_INICIAIS",3293,"Pública","NORDESTE",3596.80529483216,"RN",1017895.8984375
"13","2013","2010","2011","2012","2400505","C",4.5,0.606,0.491,0.779,0.606,1210,"Alexandria","FUNDAMENTAL_ANOS_INICIAIS",13529,"Pública","NORDESTE",1742.37190082645,"RN",2108270
"14","2017","2010","2015","2016","2400505","C",4.5,0.606,0.491,0.779,0.606,1180,"Alexandria","FUNDAMENTAL_ANOS_INICIAIS",13529,"Pública","NORDESTE",2888.83474576271,"RN",3408825
"15","2019","2010","2017","2018","2400505","C",4.7,0.606,0.491,0.779,0.606,1055,"Alexandria","FUNDAMENTAL_ANOS_INICIAIS",13529,"Pública","NORDESTE",3416.72417061611,"RN",3604644
"16","2015","2010","2013","2014","2400604","A",4.8,0.624,0.568,0.739,0.624,445,"Almino Afonso","FUNDAMENTAL_ANOS_INICIAIS",4685,"Pública","NORDESTE",1458.26314189782,"RN",648927.098144531
"17","2017","2010","2015","2016","2400604","A",4.9,0.624,0.568,0.739,0.624,424,"Almino Afonso","FUNDAMENTAL_ANOS_INICIAIS",4685,"Pública","NORDESTE",1676.0629790684,"RN",710650.703125
"18","2019","2010","2017","2018","2400604","A",5,0.624,0.568,0.739,0.624,399,"Almino Afonso","FUNDAMENTAL_ANOS_INICIAIS",4685,"Pública","NORDESTE",1768.62980693922,"RN",705683.29296875
"19","2013","2010","2011","2012","2400703","C",3.9,0.672,0.585,0.8,0.672,1206,"Alto do Rodrigues","FUNDAMENTAL_ANOS_INICIAIS",14923,"Pública","NORDESTE",1847.28109452736,"RN",2227821
"20","2015","2010","2013","2014","2400703","C",4.6,0.672,0.585,0.8,0.672,1272,"Alto do Rodrigues","FUNDAMENTAL_ANOS_INICIAIS",14923,"Pública","NORDESTE",2604.3925274543,"RN",3312787.29492188
"21","2019","2010","2017","2018","2400703","C",5.3,0.672,0.585,0.8,0.672,1182,"Alto do Rodrigues","FUNDAMENTAL_ANOS_INICIAIS",14923,"Pública","NORDESTE",3658.41539763113,"RN",4324247
"22","2013","2010","2011","2012","2400802","C",3.5,0.624,0.53,0.756,0.624,1146,"Angicos","FUNDAMENTAL_ANOS_INICIAIS",11695,"Pública","NORDESTE",1285.93796356894,"RN",1473684.90625
"23","2015","2010","2013","2014","2400802","C",4.3,0.624,0.53,0.756,0.624,1047,"Angicos","FUNDAMENTAL_ANOS_INICIAIS",11695,"Pública","NORDESTE",1798.01537876075,"RN",1882522.1015625
"24","2017","2010","2015","2016","2400802","C",4.1,0.624,0.53,0.756,0.624,1004,"Angicos","FUNDAMENTAL_ANOS_INICIAIS",11695,"Pública","NORDESTE",2101.67729083665,"RN",2110084
"25","2019","2010","2017","2018","2400802","C",4.8,0.624,0.53,0.756,0.624,948,"Angicos","FUNDAMENTAL_ANOS_INICIAIS",11695,"Pública","NORDESTE",2112.78481012658,"RN",2002920
"26","2013","2010","2011","2012","2400901","B",3.8,0.578,0.458,0.76,0.578,750,"Antônio Martins","FUNDAMENTAL_ANOS_INICIAIS",7162,"Pública","NORDESTE",2614.47733333333,"RN",1960858
"27","2015","2010","2013","2014","2400901","B",4.4,0.578,0.458,0.76,0.578,694,"Antônio Martins","FUNDAMENTAL_ANOS_INICIAIS",7162,"Pública","NORDESTE",2956.35677458573,"RN",2051711.6015625
"28","2017","2010","2015","2016","2400901","B",4.1,0.578,0.458,0.76,0.578,622,"Antônio Martins","FUNDAMENTAL_ANOS_INICIAIS",7162,"Pública","NORDESTE",3043.87138263666,"RN",1893288
"29","2019","2010","2017","2018","2400901","B",4.1,0.578,0.458,0.76,0.578,541,"Antônio Martins","FUNDAMENTAL_ANOS_INICIAIS",7162,"Pública","NORDESTE",3284.80961182994,"RN",1777082
"30","2013","2010","2011","2012","2401008","D",4.6,0.639,0.571,0.747,0.639,2693,"Apodi","FUNDAMENTAL_ANOS_INICIAIS",35904,"Pública","NORDESTE",1527.33791310806,"RN",4113121
"31","2015","2010","2013","2014","2401008","D",4.8,0.639,0.571,0.747,0.639,2523,"Apodi","FUNDAMENTAL_ANOS_INICIAIS",35904,"Pública","NORDESTE",2001.21244395313,"RN",5049058.99609375
"32","2017","2010","2015","2016","2401008","D",4.9,0.639,0.571,0.747,0.639,2439,"Apodi","FUNDAMENTAL_ANOS_INICIAIS",35904,"Pública","NORDESTE",2357.58712587126,"RN",5750155
"33","2019","2010","2017","2018","2401008","D",5.2,0.639,0.571,0.747,0.639,2289,"Apodi","FUNDAMENTAL_ANOS_INICIAIS",35904,"Pública","NORDESTE",2472.97859327217,"RN",5660648
"34","2013","2010","2011","2012","2401107","D",3.9,0.682,0.621,0.79,0.682,2222,"Areia Branca","FUNDAMENTAL_ANOS_INICIAIS",28156,"Pública","NORDESTE",1980.79297929793,"RN",4401322
"35","2015","2010","2013","2014","2401107","D",4.4,0.682,0.621,0.79,0.682,2232,"Areia Branca","FUNDAMENTAL_ANOS_INICIAIS",28156,"Pública","NORDESTE",2344.85707885305,"RN",5233721
"36","2017","2010","2015","2016","2401107","D",4.7,0.682,0.621,0.79,0.682,2145,"Areia Branca","FUNDAMENTAL_ANOS_INICIAIS",28156,"Pública","NORDESTE",2869.07132867133,"RN",6154158
"37","2019","2010","2017","2018","2401107","D",4.3,0.682,0.621,0.79,0.682,2050,"Areia Branca","FUNDAMENTAL_ANOS_INICIAIS",28156,"Pública","NORDESTE",2966.3556097561,"RN",6081029
"38","2013","2010","2011","2012","2401206","C",3.6,0.606,0.523,0.725,0.606,1403,"Arês","FUNDAMENTAL_ANOS_INICIAIS",14526,"Pública","NORDESTE",2256.6108339273,"RN",3166025
"39","2015","2010","2013","2014","2401206","C",3.8,0.606,0.523,0.725,0.606,1358,"Arês","FUNDAMENTAL_ANOS_INICIAIS",14526,"Pública","NORDESTE",2991.14204885401,"RN",4061970.90234375
"40","2017","2010","2015","2016","2401206","C",4,0.606,0.523,0.725,0.606,1255,"Arês","FUNDAMENTAL_ANOS_INICIAIS",14526,"Pública","NORDESTE",3773.61673306773,"RN",4735889
"41","2019","2010","2017","2018","2401206","C",3.7,0.606,0.523,0.725,0.606,1233,"Arês","FUNDAMENTAL_ANOS_INICIAIS",14526,"Pública","NORDESTE",3977.74776966748,"RN",4904563
"42","2013","2010","2011","2012","2401404","B",3.5,0.609,0.534,0.718,0.609,913,"Baía Formosa","FUNDAMENTAL_ANOS_INICIAIS",9373,"Pública","NORDESTE",1938.61226725082,"RN",1769953
"43","2015","2010","2013","2014","2401404","B",4,0.609,0.534,0.718,0.609,915,"Baía Formosa","FUNDAMENTAL_ANOS_INICIAIS",9373,"Pública","NORDESTE",2307.52382705772,"RN",2111384.30175781
"44","2017","2010","2015","2016","2401404","B",3.9,0.609,0.534,0.718,0.609,837,"Baía Formosa","FUNDAMENTAL_ANOS_INICIAIS",9373,"Pública","NORDESTE",2833.51732377539,"RN",2371654
"45","2019","2010","2017","2018","2401404","B",4.2,0.609,0.534,0.718,0.609,829,"Baía Formosa","FUNDAMENTAL_ANOS_INICIAIS",9373,"Pública","NORDESTE",3134.99276236429,"RN",2598909
"46","2013","2010","2011","2012","2401453","D",4.1,0.574,0.446,0.756,0.574,2916,"Baraúna","FUNDAMENTAL_ANOS_INICIAIS",29112,"Pública","NORDESTE",1968.40672153635,"RN",5739874
