"","ANO_IDEB","ANO_IDH","ANO_MATRICULA","ANO_REPASSE","CODIGO_MUNICIPIO","FAIXA_POP","IDEB_NOTA","IDHM","IDH_EDUCACAO","IDH_LONGEVIDADE","IDH_RENDA","MATRICULA","MUNICIPIO","PERIODO","POPULACAO","REDE","REGIAO","REPASSE_MATRICULA","UF","VALOR_REPASSADO_EDUCACAO"
"1","2013","2010","2011","2012","1100015","D",5.4,0.641,0.526,0.763,0.641,2232,"Alta Floresta D'Oeste","FUNDAMENTAL_ANOS_INICIAIS",22516,"Pública","NORTE",1386.51254480287,"RO",3094696
"2","2015","2010","2013","2014","1100015","D",5.8,0.641,0.526,0.763,0.641,2230,"Alta Floresta D'Oeste","FUNDAMENTAL_ANOS_INICIAIS",22516,"Pública","NORTE",1535.85964125561,"RO",3424967
"3","2017","2010","2015","2016","1100015","D",6.2,0.641,0.526,0.763,0.641,2460,"Alta Floresta D'Oeste","FUNDAMENTAL_ANOS_INICIAIS",22516,"Pública","NORTE",1634.28455284553,"RO",4020340
"4","2019","2010","2017","2018","1100015","D",5.7,0.641,0.526,0.763,0.641,2370,"Alta Floresta D'Oeste","FUNDAMENTAL_ANOS_INICIAIS",22516,"Pública","NORTE",1845.09873417722,"RO",4372884
"5","2013","2010","2011","2012","1100023","F",4.9,0.702,0.6,0.806,0.702,9677,"Ariquemes","FUNDAMENTAL_ANOS_INICIAIS",111148,"Pública","NORTE",1677.10034101478,"RO",16229300
"6","2015","2010","2013","2014","1100023","F",5.2,0.702,0.6,0.806,0.702,9319,"Ariquemes","FUNDAMENTAL_ANOS_INICIAIS",111148,"Pública","NORTE",1903.27288335658,"RO",17736600
"7","2017","2010","2015","2016","1100023","F",5.5,0.702,0.6,0.806,0.702,9782,"Ariquemes","FUNDAMENTAL_ANOS_INICIAIS",111148,"Pública","NORTE",2134.26906563075,"RO",20877420
"8","2019","2010","2017","2018","1100023","F",5.2,0.702,0.6,0.806,0.702,9436,"Ariquemes","FUNDAMENTAL_ANOS_INICIAIS",111148,"Pública","NORTE",2393.76112759644,"RO",22587530
"9","2013","2010","2011","2012","1100031","B",5.6,0.65,0.559,0.757,0.65,494,"Cabixi","FUNDAMENTAL_ANOS_INICIAIS",5067,"Pública","NORTE",1407.27589669787,"RO",695194.29296875
"10","2015","2010","2013","2014","1100031","B",5.5,0.65,0.559,0.757,0.65,498,"Cabixi","FUNDAMENTAL_ANOS_INICIAIS",5067,"Pública","NORTE",1665.17066704317,"RO",829254.9921875
"11","2017","2010","2015","2016","1100031","B",6.1,0.65,0.559,0.757,0.65,591,"Cabixi","FUNDAMENTAL_ANOS_INICIAIS",5067,"Pública","NORTE",1838.12843036168,"RO",1086333.90234375
"12","2019","2010","2017","2018","1100031","B",5.1,0.65,0.559,0.757,0.65,596,"Cabixi","FUNDAMENTAL_ANOS_INICIAIS",5067,"Pública","NORTE",2246.04177590185,"RO",1338640.8984375
"13","2013","2010","2011","2012","1100049","E",5.8,0.718,0.62,0.821,0.718,6896,"Cacoal","FUNDAMENTAL_ANOS_INICIAIS",86416,"Pública","NORTE",1203.72969837587,"RO",8300920
"14","2015","2010","2013","2014","1100049","E",5.9,0.718,0.62,0.821,0.718,6763,"Cacoal","FUNDAMENTAL_ANOS_INICIAIS",86416,"Pública","NORTE",1418.32367292622,"RO",9592123
"15","2017","2010","2015","2016","1100049","E",6.3,0.718,0.62,0.821,0.718,7375,"Cacoal","FUNDAMENTAL_ANOS_INICIAIS",86416,"Pública","NORTE",1609.87227118644,"RO",11872808
"16","2019","2010","2017","2018","1100049","E",5.8,0.718,0.62,0.821,0.718,7228,"Cacoal","FUNDAMENTAL_ANOS_INICIAIS",86416,"Pública","NORTE",1712.05506364139,"RO",12374734
"17","2013","2010","2011","2012","1100056","C",6.2,0.692,0.602,0.799,0.692,1324,"Cerejeiras","FUNDAMENTAL_ANOS_INICIAIS",16088,"Pública","NORTE",1364.7001510574,"RO",1806863
"18","2015","2010","2013","2014","1100056","C",5.9,0.692,0.602,0.799,0.692,1397,"Cerejeiras","FUNDAMENTAL_ANOS_INICIAIS",16088,"Pública","NORTE",1387.27057981389,"RO",1938017
"19","2017","2010","2015","2016","1100056","C",6.4,0.692,0.602,0.799,0.692,1436,"Cerejeiras","FUNDAMENTAL_ANOS_INICIAIS",16088,"Pública","NORTE",1838.74373259053,"RO",2640436
"20","2019","2010","2017","2018","1100056","C",6.4,0.692,0.602,0.799,0.692,1404,"Cerejeiras","FUNDAMENTAL_ANOS_INICIAIS",16088,"Pública","NORTE",1950.61965811966,"RO",2738670
"21","2013","2010","2011","2012","1100064","C",6.2,0.685,0.584,0.814,0.685,1380,"Colorado do Oeste","FUNDAMENTAL_ANOS_INICIAIS",15213,"Pública","NORTE",931.992753623188,"RO",1286150
"22","2015","2010","2013","2014","1100064","C",6.3,0.685,0.584,0.814,0.685,1448,"Colorado do Oeste","FUNDAMENTAL_ANOS_INICIAIS",15213,"Pública","NORTE",1104.73342541436,"RO",1599654
"23","2017","2010","2015","2016","1100064","C",6.4,0.685,0.584,0.814,0.685,1502,"Colorado do Oeste","FUNDAMENTAL_ANOS_INICIAIS",15213,"Pública","NORTE",1290.06258322237,"RO",1937674
"24","2019","2010","2017","2018","1100064","C",6.3,0.685,0.584,0.814,0.685,1452,"Colorado do Oeste","FUNDAMENTAL_ANOS_INICIAIS",15213,"Pública","NORTE",2624.84504132231,"RO",3811275
"25","2013","2010","2011","2012","1100072","B",5.4,0.613,0.473,0.774,0.613,789,"Corumbiara","FUNDAMENTAL_ANOS_INICIAIS",7052,"Pública","NORTE",1323.14790280418,"RO",1043963.6953125
"26","2015","2010","2013","2014","1100072","B",5.2,0.613,0.473,0.774,0.613,807,"Corumbiara","FUNDAMENTAL_ANOS_INICIAIS",7052,"Pública","NORTE",1316.42849674721,"RO",1062357.796875
"27","2017","2010","2015","2016","1100072","B",5.7,0.613,0.473,0.774,0.613,793,"Corumbiara","FUNDAMENTAL_ANOS_INICIAIS",7052,"Pública","NORTE",1846.28360458701,"RO",1464102.8984375
"28","2019","2010","2017","2018","1100072","B",6,0.613,0.473,0.774,0.613,698,"Corumbiara","FUNDAMENTAL_ANOS_INICIAIS",7052,"Pública","NORTE",2324.89269564828,"RO",1622775.1015625
"29","2013","2010","2011","2012","1100080","C",5.4,0.611,0.493,0.751,0.611,1615,"Costa Marques","FUNDAMENTAL_ANOS_INICIAIS",19255,"Pública","NORTE",1487.89473684211,"RO",2402950
"30","2015","2010","2013","2014","1100080","C",4.9,0.611,0.493,0.751,0.611,1750,"Costa Marques","FUNDAMENTAL_ANOS_INICIAIS",19255,"Pública","NORTE",1630.89314285714,"RO",2854063
"31","2017","2010","2015","2016","1100080","C",4.8,0.611,0.493,0.751,0.611,1776,"Costa Marques","FUNDAMENTAL_ANOS_INICIAIS",19255,"Pública","NORTE",1949.03490990991,"RO",3461486
"32","2019","2010","2017","2018","1100080","C",4.9,0.611,0.493,0.751,0.611,1556,"Costa Marques","FUNDAMENTAL_ANOS_INICIAIS",19255,"Pública","NORTE",2587.55848329049,"RO",4026241
"33","2013","2010","2011","2012","1100098","D",5.8,0.672,0.536,0.819,0.672,2755,"Espigão D'Oeste","FUNDAMENTAL_ANOS_INICIAIS",33009,"Pública","NORTE",1170.15245009074,"RO",3223770
"34","2015","2010","2013","2014","1100098","D",6,0.672,0.536,0.819,0.672,2745,"Espigão D'Oeste","FUNDAMENTAL_ANOS_INICIAIS",33009,"Pública","NORTE",1397.09581056466,"RO",3835028
"35","2017","2010","2015","2016","1100098","D",6.1,0.672,0.536,0.819,0.672,3017,"Espigão D'Oeste","FUNDAMENTAL_ANOS_INICIAIS",33009,"Pública","NORTE",1688.6403712297,"RO",5094628
"36","2019","2010","2017","2018","1100098","D",5.9,0.672,0.536,0.819,0.672,2874,"Espigão D'Oeste","FUNDAMENTAL_ANOS_INICIAIS",33009,"Pública","NORTE",1861.69972164231,"RO",5350525
"37","2013","2010","2011","2012","1100106","D",4.7,0.657,0.519,0.823,0.657,4727,"Guajará-Mirim","FUNDAMENTAL_ANOS_INICIAIS",46930,"Pública","NORTE",1082.99111487201,"RO",5119299
"38","2015","2010","2013","2014","1100106","D",4.9,0.657,0.519,0.823,0.657,5117,"Guajará-Mirim","FUNDAMENTAL_ANOS_INICIAIS",46930,"Pública","NORTE",1132.13093609537,"RO",5793114
"39","2017","2010","2015","2016","1100106","D",4.9,0.657,0.519,0.823,0.657,5447,"Guajará-Mirim","FUNDAMENTAL_ANOS_INICIAIS",46930,"Pública","NORTE",1384.78924178447,"RO",7542947
"40","2019","2010","2017","2018","1100106","D",5,0.657,0.519,0.823,0.657,5235,"Guajará-Mirim","FUNDAMENTAL_ANOS_INICIAIS",46930,"Pública","NORTE",1572.7841451767,"RO",8233525
"41","2013","2010","2011","2012","1100114","E",5.1,0.689,0.577,0.825,0.689,4940,"Jaru","FUNDAMENTAL_ANOS_INICIAIS",51469,"Pública","NORTE",1297.46578947368,"RO",6409481
"42","2015","2010","2013","2014","1100114","E",5.6,0.689,0.577,0.825,0.689,5004,"Jaru","FUNDAMENTAL_ANOS_INICIAIS",51469,"Pública","NORTE",1501.79236610711,"RO",7514969
"43","2017","2010","2015","2016","1100114","E",6.1,0.689,0.577,0.825,0.689,5058,"Jaru","FUNDAMENTAL_ANOS_INICIAIS",51469,"Pública","NORTE",1628.720838276,"RO",8238070
"44","2019","2010","2017","2018","1100114","E",5.7,0.689,0.577,0.825,0.689,4525,"Jaru","FUNDAMENTAL_ANOS_INICIAIS",51469,"Pública","NORTE",2058.62806629834,"RO",9315292
"45","2013","2010","2011","2012","1100122","F",5.7,0.714,0.617,0.81,0.714,10298,"Ji-Paraná","FUNDAMENTAL_ANOS_INICIAIS",131026,"Pública","NORTE",688.32006214799,"RO",7088320
"46","2015","2010","2013","2014","1100122","F",6,0.714,0.617,0.81,0.714,10750,"Ji-Paraná","FUNDAMENTAL_ANOS_INICIAIS",131026,"Pública","NORTE",824.400093023256,"RO",8862301
"47","2017","2010","2015","2016","1100122","F",6.2,0.714,0.617,0.81,0.714,11615,"Ji-Paraná","FUNDAMENTAL_ANOS_INICIAIS",131026,"Pública","NORTE",1044.66353852777,"RO",12133767
"48","2019","2010","2017","2018","1100122","F",5.8,0.714,0.617,0.81,0.714,11362,"Ji-Paraná","FUNDAMENTAL_ANOS_INICIAIS",131026,"Pública","NORTE",1208.92712550607,"RO",13735830
"49","2013","2010","2011","2012","1100130","D",5,0.596,0.446,0.755,0.596,3664,"Machadinho D'Oeste","FUNDAMENTAL_ANOS_INICIAIS",41724,"Pública","NORTE",1559.27838427948,"RO",5713196
"50","2015","2010","2013","2014","1100130","D",5.2,0.596,0.446,0.755,0.596,3592,"Machadinho D'Oeste","FUNDAMENTAL_ANOS_INICIAIS",41724,"Pública","NORTE",1840.34799554566,"RO",6610530
"51","2017","2010","2015","2016","1100130","D",5.2,0.596,0.446,0.755,0.596,3790,"Machadinho D'Oeste","FUNDAMENTAL_ANOS_INICIAIS",41724,"Pública","NORTE",2192.33350923483,"RO",8308944
"52","2019","2010","2017","2018","1100130","D",5,0.596,0.446,0.755,0.596,3647,"Machadinho D'Oeste","FUNDAMENTAL_ANOS_INICIAIS",41724,"Pública","NORTE",2308.82204551686,"RO",8420274
"53","2013","2010","2011","2012","1100148","D",6.6,0.643,0.524,0.763,0.643,1733,"Nova Brasilândia D'Oeste","FUNDAMENTAL_ANOS_INICIAIS",20504,"Pública","NORTE",1596.91575302943,"RO",2767455
