"","ANO_IDEB","ANO_IDH","ANO_MATRICULA","ANO_REPASSE","CODIGO_MUNICIPIO","FAIXA_POP","IDEB_NOTA","IDHM","IDH_EDUCACAO","IDH_LONGEVIDADE","IDH_RENDA","MATRICULA","MUNICIPIO","PERIODO","POPULACAO","REDE","REGIAO","REPASSE_MATRICULA","UF","VALOR_REPASSADO_EDUCACAO"
"1","2013","2010","2011","2012","1400027","C",4.3,0.484,0.319,0.815,0.484,1140,"Amajari","FUNDAMENTAL_ANOS_INICIAIS",13561,"Pública","NORTE",2265.16754385965,"RR",2582291
"2","2015","2010","2013","2014","1400027","C",4,0.484,0.319,0.815,0.484,1207,"Amajari","FUNDAMENTAL_ANOS_INICIAIS",13561,"Pública","NORTE",3248.08533554267,"RR",3920439
"3","2017","2010","2015","2016","1400027","C",4.6,0.484,0.319,0.815,0.484,1129,"Amajari","FUNDAMENTAL_ANOS_INICIAIS",13561,"Pública","NORTE",4017.45527015058,"RR",4535707
"4","2013","2010","2011","2012","1400050","C",4.3,0.542,0.379,0.813,0.542,1701,"Alto Alegre","FUNDAMENTAL_ANOS_INICIAIS",15249,"Pública","NORTE",1974.76249265138,"RR",3359071
"5","2015","2010","2013","2014","1400050","C",4.4,0.542,0.379,0.813,0.542,1641,"Alto Alegre","FUNDAMENTAL_ANOS_INICIAIS",15249,"Pública","NORTE",2974.64046313224,"RR",4881385
"6","2017","2010","2015","2016","1400050","C",4.6,0.542,0.379,0.813,0.542,1689,"Alto Alegre","FUNDAMENTAL_ANOS_INICIAIS",15249,"Pública","NORTE",3709.29129662522,"RR",6264993
"7","2013","2010","2011","2012","1400100","G",5.2,0.752,0.708,0.816,0.752,28712,"Boa Vista","FUNDAMENTAL_ANOS_INICIAIS",436591,"Pública","NORTE",2144.53503761493,"RR",61573890
"8","2015","2010","2013","2014","1400100","G",5.5,0.752,0.708,0.816,0.752,31964,"Boa Vista","FUNDAMENTAL_ANOS_INICIAIS",436591,"Pública","NORTE",2859.11337754974,"RR",91388700
"9","2017","2010","2015","2016","1400100","G",5.8,0.752,0.708,0.816,0.752,30080,"Boa Vista","FUNDAMENTAL_ANOS_INICIAIS",436591,"Pública","NORTE",4054.21010638298,"RR",121950640
"10","2019","2010","2017","2018","1400100","G",5.9,0.752,0.708,0.816,0.752,30483,"Boa Vista","FUNDAMENTAL_ANOS_INICIAIS",436591,"Pública","NORTE",4461.81051733753,"RR",136009370
"11","2013","2010","2011","2012","1400159","C",3.7,0.626,0.509,0.809,0.626,1723,"Bonfim","FUNDAMENTAL_ANOS_INICIAIS",12701,"Pública","NORTE",2740.96982008125,"RR",4722691
"12","2015","2010","2013","2014","1400159","C",4,0.626,0.509,0.809,0.626,1905,"Bonfim","FUNDAMENTAL_ANOS_INICIAIS",12701,"Pública","NORTE",3932.57690288714,"RR",7491559
"13","2017","2010","2015","2016","1400159","C",4.5,0.626,0.509,0.809,0.626,1921,"Bonfim","FUNDAMENTAL_ANOS_INICIAIS",12701,"Pública","NORTE",4945.37324310255,"RR",9500062
"14","2019","2010","2017","2018","1400159","C",4.4,0.626,0.509,0.809,0.626,1975,"Bonfim","FUNDAMENTAL_ANOS_INICIAIS",12701,"Pública","NORTE",5082.64759493671,"RR",10038229
"15","2013","2010","2011","2012","1400209","D",3.8,0.624,0.518,0.78,0.624,2370,"Caracaraí","FUNDAMENTAL_ANOS_INICIAIS",22635,"Pública","NORTE",3073.30632911392,"RR",7283736
"16","2015","2010","2013","2014","1400209","D",4.2,0.624,0.518,0.78,0.624,2303,"Caracaraí","FUNDAMENTAL_ANOS_INICIAIS",22635,"Pública","NORTE",4329.62657403387,"RR",9971130
"17","2017","2010","2015","2016","1400209","D",4.5,0.624,0.518,0.78,0.624,2214,"Caracaraí","FUNDAMENTAL_ANOS_INICIAIS",22635,"Pública","NORTE",5689.62917795845,"RR",12596839
"18","2019","2010","2017","2018","1400209","D",4.4,0.624,0.518,0.78,0.624,2187,"Caracaraí","FUNDAMENTAL_ANOS_INICIAIS",22635,"Pública","NORTE",5540.62048468221,"RR",12117337
"19","2013","2010","2011","2012","1400233","C",4.3,0.639,0.549,0.791,0.639,1015,"Caroebe","FUNDAMENTAL_ANOS_INICIAIS",10595,"Pública","NORTE",2465.67192118227,"RR",2502657
"20","2015","2010","2013","2014","1400233","C",4,0.639,0.549,0.791,0.639,978,"Caroebe","FUNDAMENTAL_ANOS_INICIAIS",10595,"Pública","NORTE",3767.52044989775,"RR",3684635
