"","ANO_IDEB","ANO_IDH","ANO_MATRICULA","ANO_REPASSE","CODIGO_MUNICIPIO","FAIXA_POP","IDEB_NOTA","IDHM","IDH_EDUCACAO","IDH_LONGEVIDADE","IDH_RENDA","MATRICULA","MUNICIPIO","PERIODO","POPULACAO","REDE","REGIAO","REPASSE_MATRICULA","UF","VALOR_REPASSADO_EDUCACAO"
"1","2013","2010","2011","2012","4300034","A",5.4,0.687,0.541,0.852,0.687,460,"Aceguá","FUNDAMENTAL_ANOS_INICIAIS",4981,"Pública","SUL",982.505863620924,"RS",451952.697265625
"2","2015","2010","2013","2014","4300034","A",5.6,0.687,0.541,0.852,0.687,384,"Aceguá","FUNDAMENTAL_ANOS_INICIAIS",4981,"Pública","SUL",1451.63905843099,"RS",557429.3984375
"3","2017","2010","2015","2016","4300034","A",5.5,0.687,0.541,0.852,0.687,344,"Aceguá","FUNDAMENTAL_ANOS_INICIAIS",4981,"Pública","SUL",1991.34533975291,"RS",685022.796875
"4","2019","2010","2017","2018","4300034","A",5.7,0.687,0.541,0.852,0.687,370,"Aceguá","FUNDAMENTAL_ANOS_INICIAIS",4981,"Pública","SUL",2089.48483952703,"RS",773109.390625
"5","2013","2010","2011","2012","4300059","A",5.6,0.75,0.59,0.85,0.75,234,"Água Santa","FUNDAMENTAL_ANOS_INICIAIS",3738,"Pública","SUL",1192.01196915064,"RS",278930.80078125
"6","2015","2010","2013","2014","4300059","A",5.8,0.75,0.59,0.85,0.75,252,"Água Santa","FUNDAMENTAL_ANOS_INICIAIS",3738,"Pública","SUL",1390.78216455853,"RS",350477.10546875
"7","2017","2010","2015","2016","4300059","A",5.7,0.75,0.59,0.85,0.75,261,"Água Santa","FUNDAMENTAL_ANOS_INICIAIS",3738,"Pública","SUL",1638.54634369013,"RS",427660.595703125
"8","2019","2010","2017","2018","4300059","A",6.4,0.75,0.59,0.85,0.75,244,"Água Santa","FUNDAMENTAL_ANOS_INICIAIS",3738,"Pública","SUL",1949.60248303023,"RS",475703.005859375
"9","2013","2010","2011","2012","4300109","C",5.6,0.694,0.524,0.847,0.694,1191,"Agudo","FUNDAMENTAL_ANOS_INICIAIS",16344,"Pública","SUL",1028.57104061713,"RS",1225028.109375
"10","2015","2010","2013","2014","4300109","C",5.9,0.694,0.524,0.847,0.694,1093,"Agudo","FUNDAMENTAL_ANOS_INICIAIS",16344,"Pública","SUL",1362.83504403019,"RS",1489578.703125
"11","2017","2010","2015","2016","4300109","C",6.1,0.694,0.524,0.847,0.694,1024,"Agudo","FUNDAMENTAL_ANOS_INICIAIS",16344,"Pública","SUL",1764.115234375,"RS",1806454
"12","2019","2010","2017","2018","4300109","C",5.8,0.694,0.524,0.847,0.694,943,"Agudo","FUNDAMENTAL_ANOS_INICIAIS",16344,"Pública","SUL",2032.85471898197,"RS",1916982
"13","2013","2010","2011","2012","4300208","B",6,0.753,0.658,0.85,0.753,382,"Ajuricaba","FUNDAMENTAL_ANOS_INICIAIS",6951,"Pública","SUL",941.638487810864,"RS",359705.90234375
"14","2015","2010","2013","2014","4300208","B",6.2,0.753,0.658,0.85,0.753,430,"Ajuricaba","FUNDAMENTAL_ANOS_INICIAIS",6951,"Pública","SUL",869.046979469477,"RS",373690.201171875
"15","2017","2010","2015","2016","4300208","B",6.2,0.753,0.658,0.85,0.753,386,"Ajuricaba","FUNDAMENTAL_ANOS_INICIAIS",6951,"Pública","SUL",1153.04351522021,"RS",445074.796875
"16","2019","2010","2017","2018","4300208","B",6.1,0.753,0.658,0.85,0.753,372,"Ajuricaba","FUNDAMENTAL_ANOS_INICIAIS",6951,"Pública","SUL",1234.46963205645,"RS",459222.703125
"17","2013","2010","2011","2012","4300307","B",6.4,0.672,0.522,0.852,0.672,398,"Alecrim","FUNDAMENTAL_ANOS_INICIAIS",5710,"Pública","SUL",759.601263151696,"RS",302321.302734375
"18","2015","2010","2013","2014","4300307","B",6.3,0.672,0.522,0.852,0.672,359,"Alecrim","FUNDAMENTAL_ANOS_INICIAIS",5710,"Pública","SUL",932.849587613162,"RS",334893.001953125
"19","2017","2010","2015","2016","4300307","B",5.6,0.672,0.522,0.852,0.672,310,"Alecrim","FUNDAMENTAL_ANOS_INICIAIS",5710,"Pública","SUL",1196.91645665323,"RS",371044.1015625
"20","2019","2010","2017","2018","4300307","B",6.4,0.672,0.522,0.852,0.672,318,"Alecrim","FUNDAMENTAL_ANOS_INICIAIS",5710,"Pública","SUL",1224.33554441824,"RS",389338.703125
"21","2013","2010","2011","2012","4300406","E",5.4,0.74,0.664,0.849,0.74,5253,"Alegrete","FUNDAMENTAL_ANOS_INICIAIS",72493,"Pública","SUL",731.327051208833,"RS",3841661
"22","2015","2010","2013","2014","4300406","E",5.4,0.74,0.664,0.849,0.74,5199,"Alegrete","FUNDAMENTAL_ANOS_INICIAIS",72493,"Pública","SUL",928.792075399115,"RS",4828790
"23","2017","2010","2015","2016","4300406","E",5.5,0.74,0.664,0.849,0.74,4740,"Alegrete","FUNDAMENTAL_ANOS_INICIAIS",72493,"Pública","SUL",1127.41814345992,"RS",5343962
"24","2019","2010","2017","2018","4300406","E",5.5,0.74,0.664,0.849,0.74,4754,"Alegrete","FUNDAMENTAL_ANOS_INICIAIS",72493,"Pública","SUL",1240.07109802272,"RS",5895298
"25","2013","2010","2011","2012","4300455","A",5.6,0.695,0.572,0.818,0.695,254,"Alegria","FUNDAMENTAL_ANOS_INICIAIS",3287,"Pública","SUL",879.261415015994,"RS",223332.399414062
"26","2015","2010","2013","2014","4300455","A",5.6,0.695,0.572,0.818,0.695,257,"Alegria","FUNDAMENTAL_ANOS_INICIAIS",3287,"Pública","SUL",987.263823869163,"RS",253726.802734375
"27","2017","2010","2015","2016","4300455","A",5.8,0.695,0.572,0.818,0.695,202,"Alegria","FUNDAMENTAL_ANOS_INICIAIS",3287,"Pública","SUL",1578.76285968441,"RS",318910.09765625
"28","2019","2010","2017","2018","4300455","A",5.6,0.695,0.572,0.818,0.695,183,"Alegria","FUNDAMENTAL_ANOS_INICIAIS",3287,"Pública","SUL",1970.51040599385,"RS",360603.404296875
"29","2019","2010","2017","2018","4300471","A",6.7,0.74,0.669,0.828,0.74,112,"Almirante Tamandaré do Sul","FUNDAMENTAL_ANOS_INICIAIS",1935,"Pública","SUL",1573.90355573382,"RS",176277.198242188
"30","2013","2010","2011","2012","4300505","B",6.5,0.671,0.543,0.795,0.671,506,"Alpestre","FUNDAMENTAL_ANOS_INICIAIS",5885,"Pública","SUL",852.78715569417,"RS",431510.30078125
"31","2015","2010","2013","2014","4300505","B",7.4,0.671,0.543,0.795,0.671,500,"Alpestre","FUNDAMENTAL_ANOS_INICIAIS",5885,"Pública","SUL",1054.251015625,"RS",527125.5078125
"32","2017","2010","2015","2016","4300505","B",6.6,0.671,0.543,0.795,0.671,462,"Alpestre","FUNDAMENTAL_ANOS_INICIAIS",5885,"Pública","SUL",1377.86817674513,"RS",636575.09765625
"33","2019","2010","2017","2018","4300505","B",7.3,0.671,0.543,0.795,0.671,418,"Alpestre","FUNDAMENTAL_ANOS_INICIAIS",5885,"Pública","SUL",1662.07439630682,"RS",694747.09765625
"34","2019","2010","2017","2018","4300554","A",5.9,0.747,0.642,0.859,0.747,88,"Alto Alegre","FUNDAMENTAL_ANOS_INICIAIS",1590,"Pública","SUL",1624.7089732777,"RS",142974.389648438
"35","2015","2010","2013","2014","4300570","A",5.5,0.734,0.603,0.886,0.734,141,"Alto Feliz","FUNDAMENTAL_ANOS_INICIAIS",3043,"Pública","SUL",1743.8035447141,"RS",245876.299804688
"36","2017","2010","2015","2016","4300570","A",6.2,0.734,0.603,0.886,0.734,134,"Alto Feliz","FUNDAMENTAL_ANOS_INICIAIS",3043,"Pública","SUL",2470.20220673974,"RS",331007.095703125
"37","2019","2010","2017","2018","4300570","A",6.8,0.734,0.603,0.886,0.734,158,"Alto Feliz","FUNDAMENTAL_ANOS_INICIAIS",3043,"Pública","SUL",2319.17406299446,"RS",366429.501953125
"38","2013","2010","2011","2012","4300604","G",4.7,0.699,0.564,0.874,0.699,19035,"Alvorada","FUNDAMENTAL_ANOS_INICIAIS",212352,"Pública","SUL",642.076280535855,"RS",12221922
"39","2015","2010","2013","2014","4300604","G",4.8,0.699,0.564,0.874,0.699,19303,"Alvorada","FUNDAMENTAL_ANOS_INICIAIS",212352,"Pública","SUL",771.102781950992,"RS",14884597
"40","2017","2010","2015","2016","4300604","G",4.9,0.699,0.564,0.874,0.699,17772,"Alvorada","FUNDAMENTAL_ANOS_INICIAIS",212352,"Pública","SUL",913.614505964438,"RS",16236757
"41","2019","2010","2017","2018","4300604","G",5,0.699,0.564,0.874,0.699,16796,"Alvorada","FUNDAMENTAL_ANOS_INICIAIS",212352,"Pública","SUL",1012.19040247678,"RS",17000750
"42","2013","2010","2011","2012","4300638","B",4.8,0.624,0.457,0.802,0.624,447,"Amaral Ferrador","FUNDAMENTAL_ANOS_INICIAIS",7136,"Pública","SUL",1058.94407595777,"RS",473348.001953125
"43","2015","2010","2013","2014","4300638","B",4.3,0.624,0.457,0.802,0.624,520,"Amaral Ferrador","FUNDAMENTAL_ANOS_INICIAIS",7136,"Pública","SUL",1022.96383713942,"RS",531941.1953125
"44","2017","2010","2015","2016","4300638","B",4.9,0.624,0.457,0.802,0.624,461,"Amaral Ferrador","FUNDAMENTAL_ANOS_INICIAIS",7136,"Pública","SUL",1368.62170383677,"RS",630934.60546875
"45","2019","2010","2017","2018","4300638","B",5.6,0.624,0.457,0.802,0.624,416,"Amaral Ferrador","FUNDAMENTAL_ANOS_INICIAIS",7136,"Pública","SUL",1583.09568434495,"RS",658567.8046875
"46","2013","2010","2011","2012","4300646","B",5.6,0.682,0.562,0.809,0.682,613,"Ametista do Sul","FUNDAMENTAL_ANOS_INICIAIS",7396,"Pública","SUL",957.27081209217,"RS",586807.0078125
"47","2015","2010","2013","2014","4300646","B",5.6,0.682,0.562,0.809,0.682,645,"Ametista do Sul","FUNDAMENTAL_ANOS_INICIAIS",7396,"Pública","SUL",1126.11363856589,"RS",726343.296875
"48","2017","2010","2015","2016","4300646","B",5.6,0.682,0.562,0.809,0.682,584,"Ametista do Sul","FUNDAMENTAL_ANOS_INICIAIS",7396,"Pública","SUL",1436.01815336045,"RS",838634.6015625
