"","ANO_IDEB","ANO_IDH","ANO_MATRICULA","ANO_REPASSE","CODIGO_MUNICIPIO","FAIXA_POP","IDEB_NOTA","IDHM","IDH_EDUCACAO","IDH_LONGEVIDADE","IDH_RENDA","MATRICULA","MUNICIPIO","PERIODO","POPULACAO","REDE","REGIAO","REPASSE_MATRICULA","UF","VALOR_REPASSADO_EDUCACAO"
"1","2013","2010","2011","2012","4200051","A",5.9,0.694,0.625,0.812,0.694,230,"Abdon Batista","FUNDAMENTAL_ANOS_INICIAIS",2534,"Pública","SUL",720.727836277174,"SC",165767.40234375
"2","2015","2010","2013","2014","4200051","A",6.5,0.694,0.625,0.812,0.694,253,"Abdon Batista","FUNDAMENTAL_ANOS_INICIAIS",2534,"Pública","SUL",876.743476716897,"SC",221816.099609375
"3","2017","2010","2015","2016","4200051","A",6.8,0.694,0.625,0.812,0.694,206,"Abdon Batista","FUNDAMENTAL_ANOS_INICIAIS",2534,"Pública","SUL",1174.15630688714,"SC",241876.19921875
"4","2019","2010","2017","2018","4200051","A",6.5,0.694,0.625,0.812,0.694,185,"Abdon Batista","FUNDAMENTAL_ANOS_INICIAIS",2534,"Pública","SUL",1242.86864970439,"SC",229930.700195312
"5","2013","2010","2011","2012","4200101","C",5.5,0.696,0.578,0.852,0.696,1774,"Abelardo Luz","FUNDAMENTAL_ANOS_INICIAIS",18015,"Pública","SUL",873.236356750282,"SC",1549121.296875
"6","2015","2010","2013","2014","4200101","C",5.8,0.696,0.578,0.852,0.696,1496,"Abelardo Luz","FUNDAMENTAL_ANOS_INICIAIS",18015,"Pública","SUL",1276.49598930481,"SC",1909638
"7","2017","2010","2015","2016","4200101","C",6.4,0.696,0.578,0.852,0.696,1439,"Abelardo Luz","FUNDAMENTAL_ANOS_INICIAIS",18015,"Pública","SUL",1621.62056984017,"SC",2333512
"8","2019","2010","2017","2018","4200101","C",6.1,0.696,0.578,0.852,0.696,1328,"Abelardo Luz","FUNDAMENTAL_ANOS_INICIAIS",18015,"Pública","SUL",1715.5436746988,"SC",2278242
"9","2013","2010","2011","2012","4200200","C",5.6,0.725,0.633,0.827,0.725,701,"Agrolândia","FUNDAMENTAL_ANOS_INICIAIS",11160,"Pública","SUL",811.105429743224,"SC",568584.90625
"10","2015","2010","2013","2014","4200200","C",6.2,0.725,0.633,0.827,0.725,744,"Agrolândia","FUNDAMENTAL_ANOS_INICIAIS",11160,"Pública","SUL",1007.61962890625,"SC",749669.00390625
"11","2017","2010","2015","2016","4200200","C",6.2,0.725,0.633,0.827,0.725,782,"Agrolândia","FUNDAMENTAL_ANOS_INICIAIS",11160,"Pública","SUL",1188.60575847187,"SC",929489.703125
"12","2019","2010","2017","2018","4200200","C",6.3,0.725,0.633,0.827,0.725,742,"Agrolândia","FUNDAMENTAL_ANOS_INICIAIS",11160,"Pública","SUL",1301.82022300371,"SC",965950.60546875
"13","2013","2010","2011","2012","4200309","B",5.3,0.741,0.595,0.884,0.741,329,"Agronômica","FUNDAMENTAL_ANOS_INICIAIS",5570,"Pública","SUL",800.595121343085,"SC",263395.794921875
"14","2015","2010","2013","2014","4200309","B",5.7,0.741,0.595,0.884,0.741,363,"Agronômica","FUNDAMENTAL_ANOS_INICIAIS",5570,"Pública","SUL",1003.38374870868,"SC",364228.30078125
"15","2017","2010","2015","2016","4200309","B",6,0.741,0.595,0.884,0.741,357,"Agronômica","FUNDAMENTAL_ANOS_INICIAIS",5570,"Pública","SUL",1309.26331626401,"SC",467407.00390625
"16","2019","2010","2017","2018","4200309","B",5.5,0.741,0.595,0.884,0.741,335,"Agronômica","FUNDAMENTAL_ANOS_INICIAIS",5570,"Pública","SUL",1399.06180620336,"SC",468685.705078125
"17","2013","2010","2011","2012","4200408","B",5.5,0.698,0.574,0.82,0.698,689,"Água Doce","FUNDAMENTAL_ANOS_INICIAIS",7160,"Pública","SUL",721.779971539369,"SC",497306.400390625
"18","2015","2010","2013","2014","4200408","B",6.2,0.698,0.574,0.82,0.698,642,"Água Doce","FUNDAMENTAL_ANOS_INICIAIS",7160,"Pública","SUL",879.252804955218,"SC",564480.30078125
"19","2017","2010","2015","2016","4200408","B",6.5,0.698,0.574,0.82,0.698,543,"Água Doce","FUNDAMENTAL_ANOS_INICIAIS",7160,"Pública","SUL",1272.79484633978,"SC",691127.6015625
"20","2019","2010","2017","2018","4200408","B",6.6,0.698,0.574,0.82,0.698,499,"Água Doce","FUNDAMENTAL_ANOS_INICIAIS",7160,"Pública","SUL",1421.33026208667,"SC",709243.80078125
"21","2013","2010","2011","2012","4200507","B",5.2,0.713,0.629,0.811,0.713,400,"Águas de Chapecó","FUNDAMENTAL_ANOS_INICIAIS",6544,"Pública","SUL",472.494252929687,"SC",188997.701171875
"22","2015","2010","2013","2014","4200507","B",6.2,0.713,0.629,0.811,0.713,375,"Águas de Chapecó","FUNDAMENTAL_ANOS_INICIAIS",6544,"Pública","SUL",625.967734375,"SC",234737.900390625
