"","ANO_IDEB","ANO_IDH","ANO_MATRICULA","ANO_REPASSE","CODIGO_MUNICIPIO","FAIXA_POP","IDEB_NOTA","IDHM","IDH_EDUCACAO","IDH_LONGEVIDADE","IDH_RENDA","MATRICULA","MUNICIPIO","PERIODO","POPULACAO","REDE","REGIAO","REPASSE_MATRICULA","UF","VALOR_REPASSADO_EDUCACAO"
"1","2013","2010","2011","2012","2800100","A",4.8,0.611,0.55,0.728,0.611,229,"Amparo de São Francisco","FUNDAMENTAL_ANOS_INICIAIS",2386,"Pública","NORDESTE",3236.10091430131,"SE",741067.109375
"2","2015","2010","2013","2014","2800100","A",4.9,0.611,0.55,0.728,0.611,221,"Amparo de São Francisco","FUNDAMENTAL_ANOS_INICIAIS",2386,"Pública","NORDESTE",4099.80090497738,"SE",906056
"3","2017","2010","2015","2016","2800100","A",5,0.611,0.55,0.728,0.611,202,"Amparo de São Francisco","FUNDAMENTAL_ANOS_INICIAIS",2386,"Pública","NORDESTE",4617.64851485148,"SE",932765
"4","2019","2010","2017","2018","2800100","A",5.4,0.611,0.55,0.728,0.611,220,"Amparo de São Francisco","FUNDAMENTAL_ANOS_INICIAIS",2386,"Pública","NORDESTE",5128.19044744318,"SE",1128201.8984375
"5","2013","2010","2011","2012","2800209","D",3.8,0.578,0.452,0.747,0.578,2394,"Aquidabã","FUNDAMENTAL_ANOS_INICIAIS",21796,"Pública","NORDESTE",2202.55137844612,"SE",5272908
"6","2015","2010","2013","2014","2800209","D",4,0.578,0.452,0.747,0.578,2093,"Aquidabã","FUNDAMENTAL_ANOS_INICIAIS",21796,"Pública","NORDESTE",2758.85045389393,"SE",5774274
"7","2017","2010","2015","2016","2800209","D",4.1,0.578,0.452,0.747,0.578,2080,"Aquidabã","FUNDAMENTAL_ANOS_INICIAIS",21796,"Pública","NORDESTE",3090.47019230769,"SE",6428178
"8","2019","2010","2017","2018","2800209","D",4.1,0.578,0.452,0.747,0.578,1968,"Aquidabã","FUNDAMENTAL_ANOS_INICIAIS",21796,"Pública","NORDESTE",4484.09400406504,"SE",8824697
"9","2013","2010","2011","2012","2800308","G",4.1,0.77,0.708,0.823,0.77,36653,"Aracaju","FUNDAMENTAL_ANOS_INICIAIS",672614,"Pública","NORDESTE",1121.65852726925,"SE",41112150
"10","2015","2010","2013","2014","2800308","G",4.3,0.77,0.708,0.823,0.77,37289,"Aracaju","FUNDAMENTAL_ANOS_INICIAIS",672614,"Pública","NORDESTE",1364.89125479364,"SE",50895430
"11","2017","2010","2015","2016","2800308","G",4.6,0.77,0.708,0.823,0.77,37919,"Aracaju","FUNDAMENTAL_ANOS_INICIAIS",672614,"Pública","NORDESTE",1700.44041245813,"SE",64479000
"12","2019","2010","2017","2018","2800308","G",4.9,0.77,0.708,0.823,0.77,38273,"Aracaju","FUNDAMENTAL_ANOS_INICIAIS",672614,"Pública","NORDESTE",1767.980038147,"SE",67665900
"13","2013","2010","2011","2012","2800407","B",3.5,0.595,0.49,0.783,0.595,1131,"Arauá","FUNDAMENTAL_ANOS_INICIAIS",9840,"Pública","NORDESTE",3432.51016799293,"SE",3882169
"14","2015","2010","2013","2014","2800407","B",3.7,0.595,0.49,0.783,0.595,1219,"Arauá","FUNDAMENTAL_ANOS_INICIAIS",9840,"Pública","NORDESTE",4038.82854799016,"SE",4923332
"15","2017","2010","2015","2016","2800407","B",4.4,0.595,0.49,0.783,0.595,1151,"Arauá","FUNDAMENTAL_ANOS_INICIAIS",9840,"Pública","NORDESTE",4393.8158123371,"SE",5057282
"16","2019","2010","2017","2018","2800407","B",4.6,0.595,0.49,0.783,0.595,1111,"Arauá","FUNDAMENTAL_ANOS_INICIAIS",9840,"Pública","NORDESTE",5065.74797479748,"SE",5628046
"17","2013","2010","2011","2012","2800506","C",3.9,0.579,0.434,0.773,0.579,1977,"Areia Branca","FUNDAMENTAL_ANOS_INICIAIS",18825,"Pública","NORDESTE",2881.81588265048,"SE",5697350
"18","2015","2010","2013","2014","2800506","C",3.9,0.579,0.434,0.773,0.579,2143,"Areia Branca","FUNDAMENTAL_ANOS_INICIAIS",18825,"Pública","NORDESTE",3317.49836677555,"SE",7109399
"19","2017","2010","2015","2016","2800506","C",4.2,0.579,0.434,0.773,0.579,1930,"Areia Branca","FUNDAMENTAL_ANOS_INICIAIS",18825,"Pública","NORDESTE",4473.55388601036,"SE",8633959
"20","2019","2010","2017","2018","2800506","C",4.3,0.579,0.434,0.773,0.579,1912,"Areia Branca","FUNDAMENTAL_ANOS_INICIAIS",18825,"Pública","NORDESTE",4513.17991631799,"SE",8629200
"21","2013","2010","2011","2012","2800605","D",3.6,0.649,0.545,0.776,0.649,2102,"Barra dos Coqueiros","FUNDAMENTAL_ANOS_INICIAIS",31439,"Pública","NORDESTE",2028.0946717412,"SE",4263055
"22","2015","2010","2013","2014","2800605","D",3.7,0.649,0.545,0.776,0.649,2065,"Barra dos Coqueiros","FUNDAMENTAL_ANOS_INICIAIS",31439,"Pública","NORDESTE",2530.46634382567,"SE",5225413
"23","2017","2010","2015","2016","2800605","D",4.1,0.649,0.545,0.776,0.649,2140,"Barra dos Coqueiros","FUNDAMENTAL_ANOS_INICIAIS",31439,"Pública","NORDESTE",3004.15560747664,"SE",6428893
"24","2019","2010","2017","2018","2800605","D",4.1,0.649,0.545,0.776,0.649,2035,"Barra dos Coqueiros","FUNDAMENTAL_ANOS_INICIAIS",31439,"Pública","NORDESTE",3736.82211302211,"SE",7604433
"25","2013","2010","2011","2012","2800670","D",4,0.604,0.492,0.771,0.604,2791,"Boquim","FUNDAMENTAL_ANOS_INICIAIS",26980,"Pública","NORDESTE",2293.33321390183,"SE",6400693
"26","2015","2010","2013","2014","2800670","D",4.1,0.604,0.492,0.771,0.604,2601,"Boquim","FUNDAMENTAL_ANOS_INICIAIS",26980,"Pública","NORDESTE",2860.60438292964,"SE",7440432
"27","2017","2010","2015","2016","2800670","D",4.3,0.604,0.492,0.771,0.604,2417,"Boquim","FUNDAMENTAL_ANOS_INICIAIS",26980,"Pública","NORDESTE",3624.21721141911,"SE",8759733
"28","2019","2010","2017","2018","2800670","D",4.4,0.604,0.492,0.771,0.604,2328,"Boquim","FUNDAMENTAL_ANOS_INICIAIS",26980,"Pública","NORDESTE",4047.17912371134,"SE",9421833
"29","2013","2010","2011","2012","2800704","B",2.9,0.54,0.435,0.701,0.54,995,"Brejo Grande","FUNDAMENTAL_ANOS_INICIAIS",8396,"Pública","NORDESTE",2221.00603015075,"SE",2209901
