"","ANO_IDEB","ANO_IDH","ANO_MATRICULA","ANO_REPASSE","CODIGO_MUNICIPIO","FAIXA_POP","IDEB_NOTA","IDHM","IDH_EDUCACAO","IDH_LONGEVIDADE","IDH_RENDA","MATRICULA","MUNICIPIO","PERIODO","POPULACAO","REDE","REGIAO","REPASSE_MATRICULA","UF","VALOR_REPASSADO_EDUCACAO"
"1","2013","2010","2011","2012","3500105","D",5.7,0.79,0.75,0.852,0.79,1863,"Adamantina","FUNDAMENTAL_ANOS_INICIAIS",35153,"Pública","SUDESTE",337.315137714707,"SP",628418.1015625
"2","2015","2010","2013","2014","3500105","D",6.6,0.79,0.75,0.852,0.79,1948,"Adamantina","FUNDAMENTAL_ANOS_INICIAIS",35153,"Pública","SUDESTE",401.128948360498,"SP",781399.19140625
"3","2017","2010","2015","2016","3500105","D",6.9,0.79,0.75,0.852,0.79,1921,"Adamantina","FUNDAMENTAL_ANOS_INICIAIS",35153,"Pública","SUDESTE",467.521080735945,"SP",898107.99609375
"4","2019","2010","2017","2018","3500105","D",6.8,0.79,0.75,0.852,0.79,2023,"Adamantina","FUNDAMENTAL_ANOS_INICIAIS",35153,"Pública","SUDESTE",464.497082380746,"SP",939677.59765625
"5","2013","2010","2011","2012","3500204","A",5.9,0.73,0.648,0.844,0.73,237,"Adolfo","FUNDAMENTAL_ANOS_INICIAIS",3545,"Pública","SUDESTE",651.635733946466,"SP",154437.668945312
"6","2015","2010","2013","2014","3500204","A",6.2,0.73,0.648,0.844,0.73,230,"Adolfo","FUNDAMENTAL_ANOS_INICIAIS",3545,"Pública","SUDESTE",779.993474014946,"SP",179398.499023438
"7","2017","2010","2015","2016","3500204","A",6.5,0.73,0.648,0.844,0.73,240,"Adolfo","FUNDAMENTAL_ANOS_INICIAIS",3545,"Pública","SUDESTE",835.545841471354,"SP",200531.001953125
"8","2019","2010","2017","2018","3500204","A",6.4,0.73,0.648,0.844,0.73,257,"Adolfo","FUNDAMENTAL_ANOS_INICIAIS",3545,"Pública","SUDESTE",938.082099647374,"SP",241087.099609375
"9","2013","2010","2011","2012","3500303","D",5.4,0.715,0.606,0.858,0.715,2809,"Aguaí","FUNDAMENTAL_ANOS_INICIAIS",36981,"Pública","SUDESTE",340.957848934229,"SP",957750.59765625
"10","2015","2010","2013","2014","3500303","D",5.4,0.715,0.606,0.858,0.715,2666,"Aguaí","FUNDAMENTAL_ANOS_INICIAIS",36981,"Pública","SUDESTE",443.526291729182,"SP",1182441.09375
"11","2017","2010","2015","2016","3500303","D",6.3,0.715,0.606,0.858,0.715,2539,"Aguaí","FUNDAMENTAL_ANOS_INICIAIS",36981,"Pública","SUDESTE",538.644345091571,"SP",1367617.9921875
"12","2019","2010","2017","2018","3500303","D",6.2,0.715,0.606,0.858,0.715,2472,"Aguaí","FUNDAMENTAL_ANOS_INICIAIS",36981,"Pública","SUDESTE",586.553884759304,"SP",1449961.203125
"13","2013","2010","2011","2012","3500402","B",5.9,0.781,0.716,0.886,0.781,430,"Águas da Prata","FUNDAMENTAL_ANOS_INICIAIS",8262,"Pública","SUDESTE",398.310231195494,"SP",171273.399414062
"14","2015","2010","2013","2014","3500402","B",5.8,0.781,0.716,0.886,0.781,388,"Águas da Prata","FUNDAMENTAL_ANOS_INICIAIS",8262,"Pública","SUDESTE",481.02783203125,"SP",186638.798828125
"15","2017","2010","2015","2016","3500402","B",6.5,0.781,0.716,0.886,0.781,399,"Águas da Prata","FUNDAMENTAL_ANOS_INICIAIS",8262,"Pública","SUDESTE",583.31678316886,"SP",232743.396484375
