"AREA","DATA","MUNICIPIO","UF","VALOR"
"Educação","2012-01-01","São José dos Campos","SP","1289040.0"
"Educação","2012-02-01","São José dos Campos","SP","1540060.0"
"Educação","2012-03-01","São José dos Campos","SP","1982075.5986328125"
"Educação","2012-04-01","São José dos Campos","SP","1805299.5986328125"
"Educação","2012-05-01","São José dos Campos","SP","2416605.3999938965"
"Educação","2012-06-01","São José dos Campos","SP","3618528.79876709"
"Educação","2012-07-01","São José dos Campos","SP","1611391.5986328125"
"Educação","2012-08-01","São José dos Campos","SP","2599152.0006103516"
"Educação","2012-09-01","São José dos Campos","SP","1920228.1017456055"
"Educação","2012-10-01","São José dos Campos","SP","1348782.3887939453"
"Educação","2012-11-01","São José dos Campos","SP","2552194.089904785"
"Educação","2012-12-01","São José dos Campos","SP","1516880.0"
"Educação","2013-01-01","São José dos Campos","SP","1374330.0"
"Educação","2013-02-01","São José dos Campos","SP","1777416.0"
"Educação","2013-03-01","São José dos Campos","SP","2131074.2001953125"
"Educação","2013-04-01","São José dos Campos","SP","3661566.2001953125"
"Educação","2013-05-01","São José dos Campos","SP","3215136.2001953125"
"Educação","2013-06-01","São José dos Campos","SP","2414232.7001953125"
"Educação","2013-07-01","São José dos Campos","SP","1744189.0009765625"
"Educação","2013-08-01","São José dos Campos","SP","1973340.0"
"Educação","2013-09-01","São José dos Campos","SP","2082344.0009765625"
"Educação","2013-10-01","São José dos Campos","SP",""
"Educação","2013-11-01","São José dos Campos","SP","1671374.0009765625"
"Educação","2013-12-01","São José dos Campos","SP","2949448.3413085938"
"Educação","2014-01-01","São José dos Campos","SP","1856150.0"
"Educação","2014-02-01","São José dos Campos","SP","1942830.0"
"Educação","2014-03-01","São José dos Campos","SP","1817911.599609375"
"Educação","2014-04-01","São José dos Campos","SP","3378951.522705078"
"Educação","2014-05-01","São José dos Campos","SP","2374679.9013671875"
"Educação","2014-06-01","São José dos Campos","SP","3406138.0"
"Educação","2014-07-01","São José dos Campos","SP","2402703.9013671875"
"Educação","2014-08-01","São José dos Campos","SP","3051582.802734375"
"Educação","2014-09-01","São José dos Campos","SP","1442380.3017578125"
"Educação","2014-10-01","São José dos Campos","SP","2981956.8017578125"
"Educação","2014-11-01","São José dos Campos","SP","1611308.0"
"Educação","2014-12-01","São José dos Campos","SP","2543163.9013671875"
"Educação","2015-01-01","São José dos Campos","SP","2306586.0"
"Educação","2015-02-01","São José dos Campos","SP","2437119.719970703"
"Educação","2015-03-01","São José dos Campos","SP","2097094.400390625"
"Educação","2015-04-01","São José dos Campos","SP","2567139.6088256836"
"Educação","2015-05-01","São José dos Campos","SP","2673899.6088256836"
"Educação","2015-06-01","São José dos Campos","SP","3002179.6088256836"
"Educação","2015-07-01","São José dos Campos","SP","1955166.400390625"
"Educação","2015-08-01","São José dos Campos","SP","2296932.0072631836"
"Educação","2015-09-01","São José dos Campos","SP","2219058.418823242"
"Educação","2015-10-01","São José dos Campos","SP","3146199.6088256836"
"Educação","2015-11-01","São José dos Campos","SP","2368077.6088256836"
"Educação","2015-12-01","São José dos Campos","SP","4362959.608825684"
"Educação","2016-01-01","São José dos Campos","SP","2158929.30078125"
"Educação","2016-02-01","São José dos Campos","SP","2374942.8984375"
"Educação","2016-03-01","São José dos Campos","SP","2088522.6003417969"
